classifier,calibrate,confidence,mean_penalty,std,mean_aurc_full,mean_aurc_red,n
logistic,isotonic,margin_2p_1,0.025249999614688795,0.030715975252974766,0.08907131132943491,0.11432131094412372,990
logistic,isotonic,margin_abs_p_0.5,0.025249999614688795,0.030715975252974766,0.08907131132943491,0.11432131094412372,990
logistic,isotonic,pred_entropy,0.029302722472295834,0.030641311754048443,0.10860020999427628,0.1379029324665721,990
logistic,none,margin_2p_1,0.01933929882956235,0.029758534891755083,0.0856440993708708,0.10498339820043313,1080
logistic,none,margin_abs_p_0.5,0.01933929882956235,0.029758534891755083,0.0856440993708708,0.10498339820043313,1080
logistic,none,pred_entropy,0.018964183085780646,0.030284058724728346,0.08679952216570615,0.1057637052514868,1080
logistic,sigmoid,margin_2p_1,0.023726168042849792,0.033631671469891024,0.08578038328394952,0.1095065513267993,990
logistic,sigmoid,margin_abs_p_0.5,0.023726168042849792,0.033631671469891024,0.08578038328394952,0.1095065513267993,990
logistic,sigmoid,pred_entropy,0.02388871263327188,0.03374233061013025,0.08591017332950025,0.10979888596277214,990
rf,isotonic,margin_2p_1,0.04171234366516809,0.033696738304241504,0.08208939910338241,0.1238017427685505,990
rf,isotonic,margin_abs_p_0.5,0.04171234366516809,0.033696738304241504,0.08208939910338241,0.1238017427685505,990
rf,isotonic,pred_entropy,0.03954695290605807,0.03235000915687486,0.09654605113113666,0.13609300403719476,990
rf,none,margin_2p_1,0.047556314426407786,0.04215009834431217,0.07952872669171755,0.12708504111812532,1080
rf,none,margin_abs_p_0.5,0.047556314426407786,0.04215009834431217,0.07952872669171755,0.12708504111812532,1080
rf,none,pred_entropy,0.05427715553369664,0.044810332451038035,0.08284780301225972,0.13712495854595635,1080
rf,sigmoid,margin_2p_1,0.04437036664799535,0.03485628084659858,0.07913796263817681,0.12350832928617216,990
rf,sigmoid,margin_abs_p_0.5,0.04437036664799535,0.03485628084659858,0.07913796263817681,0.12350832928617216,990
rf,sigmoid,pred_entropy,0.04437018344049547,0.034856311280557536,0.07913791796915988,0.12350810140965535,990
