classifier,calibrate,bin_type,bins,mean_penalty,std,frac_positive,n,n_datasets
logistic,isotonic,equal_freq,5,0.014083346870707548,0.026177060723516523,0.8090909090909091,990,11
logistic,isotonic,equal_freq,10,0.012631423526428777,0.024809280062346055,0.7616161616161616,990,11
logistic,isotonic,equal_freq,15,0.010452562164150695,0.02418083270556551,0.7282828282828283,990,11
logistic,isotonic,equal_freq,20,0.009497237164494271,0.023286449328679036,0.7090909090909091,990,11
logistic,isotonic,equal_freq,30,0.0068630239400361915,0.023689103795810084,0.6464646464646465,990,11
logistic,isotonic,equal_freq,50,0.0023228074425583247,0.023762571582543475,0.5717171717171717,990,11
logistic,isotonic,equal_width,5,0.012609818460416684,0.02717063984345126,0.7090909090909091,990,11
logistic,isotonic,equal_width,10,0.009768083741163856,0.026963674600832977,0.6888888888888889,990,11
logistic,isotonic,equal_width,15,0.009255516180180966,0.026291547929647923,0.693939393939394,990,11
logistic,isotonic,equal_width,20,0.0076169670519757185,0.026473362134186204,0.6676767676767676,990,11
logistic,isotonic,equal_width,30,0.007331893692412711,0.0254439702692851,0.6717171717171717,990,11
logistic,isotonic,equal_width,50,0.004550188538315556,0.02431678413767881,0.6232323232323232,990,11
logistic,none,equal_freq,5,0.0010882871183870598,0.01822097571318579,0.5851851851851851,1080,12
logistic,none,equal_freq,10,0.004403453535003162,0.0194509110515806,0.6287037037037037,1080,12
logistic,none,equal_freq,15,0.004821960980289824,0.019581125335177883,0.6240740740740741,1080,12
logistic,none,equal_freq,20,0.005053744752734576,0.019049537347735478,0.6509259259259259,1080,12
logistic,none,equal_freq,30,0.005343028335126938,0.01867755215780674,0.6416666666666667,1080,12
logistic,none,equal_freq,50,0.004470179284398281,0.018341390580153775,0.6759259259259259,1080,12
logistic,none,equal_width,5,-0.00214468820373078,0.02457334959219013,0.4527777777777778,1080,12
logistic,none,equal_width,10,-0.0009354950025529915,0.022234225418308804,0.45,1080,12
logistic,none,equal_width,15,0.002067745791236517,0.02142193164469653,0.5305555555555556,1080,12
logistic,none,equal_width,20,0.0012420563989443598,0.022078441991033065,0.5472222222222223,1080,12
logistic,none,equal_width,30,0.0020739526576205973,0.020697671805578823,0.562962962962963,1080,12
logistic,none,equal_width,50,0.00033196681630323616,0.020653402146944964,0.5453703703703704,1080,12
logistic,sigmoid,equal_freq,5,0.0034316525040061236,0.02523595163751141,0.5202020202020202,990,11
logistic,sigmoid,equal_freq,10,0.007423056774401177,0.024765702502354558,0.6121212121212121,990,11
logistic,sigmoid,equal_freq,15,0.007185278855129525,0.023230675383473367,0.602020202020202,990,11
logistic,sigmoid,equal_freq,20,0.006093883766129908,0.02294474678686815,0.5888888888888889,990,11
logistic,sigmoid,equal_freq,30,0.004157422811349328,0.022462848642190756,0.5727272727272728,990,11
logistic,sigmoid,equal_freq,50,0.0027367877422199995,0.02163166206699668,0.5545454545454546,990,11
logistic,sigmoid,equal_width,5,0.003066805987079949,0.028230587468362295,0.46464646464646464,990,11
logistic,sigmoid,equal_width,10,0.007192381159428312,0.02781261696645232,0.5717171717171717,990,11
logistic,sigmoid,equal_width,15,0.008176564623737219,0.026323751254134418,0.6,990,11
logistic,sigmoid,equal_width,20,0.007567307687353816,0.025192364627923267,0.5898989898989899,990,11
logistic,sigmoid,equal_width,30,0.006772657886482603,0.025305688568606946,0.591919191919192,990,11
logistic,sigmoid,equal_width,50,0.006120350590645319,0.023608077961540314,0.6383838383838384,990,11
rf,isotonic,equal_freq,5,0.01021133817651025,0.02367066438401442,0.6808080808080809,990,11
rf,isotonic,equal_freq,10,0.0101727555752926,0.023268608128147194,0.6737373737373737,990,11
rf,isotonic,equal_freq,15,0.009665298850959564,0.023386097331969346,0.6747474747474748,990,11
rf,isotonic,equal_freq,20,0.00981740510888215,0.023697717713579442,0.6646464646464646,990,11
rf,isotonic,equal_freq,30,0.008735148528087117,0.024163936235874,0.6767676767676768,990,11
rf,isotonic,equal_freq,50,0.006120944450727443,0.02617051054603825,0.6919191919191919,990,11
rf,isotonic,equal_width,5,0.009063760850324983,0.023402409164239787,0.6525252525252525,990,11
rf,isotonic,equal_width,10,0.007093381451466817,0.02422344815955777,0.6141414141414141,990,11
rf,isotonic,equal_width,15,0.006781747618288773,0.025161795105032157,0.6333333333333333,990,11
rf,isotonic,equal_width,20,0.005749527557764324,0.024440438018108482,0.604040404040404,990,11
