classifier,calibrate,bin_type,bins,mean_penalty,n_units,sign,p_ttest,p_wilcoxon,p_holm,material
logistic,isotonic,equal_freq,5,0.01408,33,+,0.0013,0.0,0.0079,True
logistic,isotonic,equal_freq,10,0.01263,33,+,0.0014,0.0,0.0079,True
logistic,isotonic,equal_freq,15,0.01045,33,+,0.0041,0.0,0.0165,True
logistic,isotonic,equal_freq,20,0.0095,33,+,0.0053,0.0001,0.0165,True
logistic,isotonic,equal_freq,30,0.00686,33,+,0.041,0.0022,0.082,False
logistic,isotonic,equal_freq,50,0.00232,33,+,0.4703,0.0737,0.4703,False
logistic,isotonic,equal_width,5,0.01261,33,+,0.0038,0.0003,0.0226,True
logistic,isotonic,equal_width,10,0.00977,33,+,0.0194,0.0018,0.0971,False
logistic,isotonic,equal_width,15,0.00926,33,+,0.0204,0.0018,0.0971,False
logistic,isotonic,equal_width,20,0.00762,33,+,0.0542,0.0052,0.1519,False
logistic,isotonic,equal_width,30,0.00733,33,+,0.0506,0.0043,0.1519,False
logistic,isotonic,equal_width,50,0.00455,33,+,0.1797,0.023,0.1797,False
logistic,none,equal_freq,5,0.00109,36,+,0.6369,0.3542,0.6369,False
logistic,none,equal_freq,10,0.0044,36,+,0.086,0.016,0.2079,False
logistic,none,equal_freq,15,0.00482,36,+,0.0641,0.077,0.2079,False
logistic,none,equal_freq,20,0.00505,36,+,0.0332,0.0478,0.1662,False
logistic,none,equal_freq,30,0.00534,36,+,0.0243,0.0127,0.1459,False
logistic,none,equal_freq,50,0.00447,36,+,0.052,0.0046,0.2079,False
logistic,none,equal_width,5,-0.00214,36,-,0.5498,0.2928,1.0,False
logistic,none,equal_width,10,-0.00094,36,-,0.7642,0.5189,1.0,False
logistic,none,equal_width,15,0.00207,36,+,0.478,0.2145,1.0,False
logistic,none,equal_width,20,0.00124,36,+,0.6799,0.4601,1.0,False
logistic,none,equal_width,30,0.00207,36,+,0.4481,0.3542,1.0,False
logistic,none,equal_width,50,0.00033,36,+,0.9014,0.5601,1.0,False
logistic,sigmoid,equal_freq,5,0.00341,34,+,0.3663,0.9865,0.6671,False
logistic,sigmoid,equal_freq,10,0.00731,34,+,0.0467,0.0138,0.2336,False
logistic,sigmoid,equal_freq,15,0.00711,34,+,0.0362,0.0206,0.2174,False
logistic,sigmoid,equal_freq,20,0.00606,34,+,0.0628,0.0391,0.2514,False
