# STATUS: validated  (REPS=30)
# calibration_sha256: eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
# calib_sha256: eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
arcene,l1_logistic,gb,none,frac:1,frac,1.0,accuracy,0.8115000000000001,0.8051666666666667,0.8175,30,,,,,,,False,False,False,10000,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:1,k,,accuracy,0.5231666666666667,0.5118291666666667,0.5345,30,-0.28833333333333333,-8.962158502662007,-0.29950000000000004,-0.277,1.7202594665136766e-06,1.542390026466049e-05,True,True,False,1,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:128,k,,accuracy,0.7656666666666666,0.7571666666666667,0.7741666666666667,30,-0.045833333333333316,-1.7561074510795296,-0.054666666666666655,-0.03633333333333332,3.4737340969299027e-06,1.542390026466049e-05,True,True,False,128,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:16,k,,accuracy,0.6676666666666667,0.656,0.6784999999999999,30,-0.1438333333333333,-3.703805023995439,-0.15799999999999997,-0.13083333333333333,1.7202594665136766e-06,1.542390026466049e-05,True,True,False,16,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:2,k,,accuracy,0.5283333333333334,0.5165000000000001,0.5415,30,-0.2831666666666666,-7.851114298571472,-0.29533333333333334,-0.26966666666666667,1.7256857880058036e-06,1.542390026466049e-05,True,True,False,2,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:256,k,,accuracy,0.7803333333333333,0.773,0.7871666666666667,30,-0.031166666666666638,-1.2101875134517064,-0.04033333333333331,-0.021999999999999985,8.906217005441076e-06,1.542390026466049e-05,True,True,False,256,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:32,k,,accuracy,0.7256666666666668,0.7176666666666667,0.7334999999999998,30,-0.08583333333333336,-2.5898335556724055,-0.09783333333333331,-0.07416666666666669,1.7235135468062213e-06,1.542390026466049e-05,True,True,False,32,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:4,k,,accuracy,0.5618333333333333,0.553,0.5704999999999999,30,-0.24966666666666668,-7.6738614317865315,-0.2608333333333333,-0.23833333333333334,1.7137666960733877e-06,1.542390026466049e-05,True,True,False,4,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:64,k,,accuracy,0.752,0.7429999999999999,0.7615,30,-0.05949999999999999,-1.8296868959239554,-0.07066666666666667,-0.048166666666666656,2.8681932612706426e-06,1.542390026466049e-05,True,True,False,64,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:8,k,,accuracy,0.6115,0.5991666666666667,0.6225,30,-0.2,-5.060342282658363,-0.21433333333333332,-0.1861666666666667,1.7137666960733877e-06,1.542390026466049e-05,True,True,False,8,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,frac:1,frac,1.0,auroc,0.8936857413419914,0.8888663419913421,0.8981636397456711,30,,,,,,,False,False,False,10000,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:1,k,,auroc,0.5290178571428572,0.5152478608630953,0.5427152242288962,30,-0.3646678841991342,-9.194812921000223,-0.37871440408549784,-0.350733267383658,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,1,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:128,k,,auroc,0.839654356060606,0.8321324573863635,0.8470644784902596,30,-0.054031385281385284,-2.441377720486907,-0.0617257677218615,-0.04608013731060606,3.725290298461914e-09,1.6763806343078613e-08,True,True,False,128,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:16,k,,auroc,0.7286221590909091,0.7164189326298702,0.739841636228355,30,-0.16506358225108228,-4.640759800750064,-0.17825098079004326,-0.1530976055194805,1.7333066441991056e-06,3.4666132883982113e-06,True,True,False,16,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:2,k,,auroc,0.5417850378787878,0.5297029305330087,0.5556626674107144,30,-0.35190070346320346,-10.076039459829078,-0.36342608563311696,-0.33917736235119045,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,2,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:256,k,,auroc,0.8585666937229437,0.8514981567911256,0.8651043357683982,30,-0.03511904761904761,-1.5706692447410193,-0.04301313920454546,-0.027180905032467517,2.60770320892334e-08,7.82310962677002e-08,True,True,False,256,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:32,k,,auroc,0.8024147727272727,0.7947070312500002,0.8100752502705629,30,-0.09127096861471863,-3.1525860093817912,-0.10171147862554118,-0.08133987757034636,1.7333066441991056e-06,3.4666132883982113e-06,True,True,False,32,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:4,k,,auroc,0.5883404356060606,0.5772928081033549,0.5998242187499999,30,-0.3053453057359307,-8.782058126414372,-0.31716894108495663,-0.2934580881358226,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,4,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:64,k,,auroc,0.827428300865801,0.8207687364718614,0.8344600581709958,30,-0.06625744047619046,-2.692109909093603,-0.07455433238636365,-0.05735220508658007,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,64,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:8,k,,auroc,0.6550595238095238,0.6408706625405843,0.6676999205221861,30,-0.23862621753246757,-5.8130834347665425,-0.25355303875811686,-0.2248965097402597,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,8,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,frac:1,frac,1.0,brier,0.13883421538071566,0.1343665542411814,0.1434875125764751,30,,,,,,,False,False,False,10000,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:1,k,,brier,0.2679069084254947,0.2640726499667605,0.2715556397636325,30,0.1290726930447789,9.1080888556055,0.12414057110835901,0.1341514093226833,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,1,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:128,k,,brier,0.17508322635376522,0.16952392123975255,0.1807529681298233,30,0.03624901097304951,1.9798722391233496,0.029832496856237598,0.04261767778774904,1.30385160446167e-08,2.60770320892334e-08,True,True,False,128,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:16,k,,brier,0.25202750131007207,0.2452885043906651,0.25896123835615265,30,0.11319328592935642,4.482027132183539,0.10464273744570729,0.12224141742405759,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,16,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:2,k,,brier,0.2846599980909395,0.2791110879480229,0.289625040139349,30,0.1458257827102238,8.38488159375873,0.13959296960265438,0.15194753655928306,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,2,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:256,k,,brier,0.16336939088037353,0.15838810269697975,0.16883180864023192,30,0.02453517549965783,1.3121613066722508,0.017916533814941966,0.03117142818059749,4.7124922275543213e-07,4.7124922275543213e-07,True,True,False,256,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:32,k,,brier,0.20356805077170995,0.19823121878813052,0.20904425817145134,30,0.06473383539099423,2.7918690651375786,0.05671205850585854,0.07303059586858558,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,32,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:4,k,,brier,0.2963084510848127,0.2907120617275065,0.3018387334351925,30,0.1574742357040969,7.370730907055366,0.15021522593326178,0.1649546324320525,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,4,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:64,k,,brier,0.18500086991489367,0.17937978340852606,0.19061324176089706,30,0.04616665453417799,2.1559293425813477,0.03839967340716168,0.05343840585182836,5.587935447692871e-09,1.6763806343078613e-08,True,True,False,64,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:8,k,,brier,0.28647402397909255,0.2793423453142056,0.2942890323031762,30,0.14763980859837694,5.617703520575693,0.1385088195174951,0.1571354536280313,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,8,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,frac:1,frac,1.0,ece,0.10510106956671453,0.09876011743910175,0.11175573539404526,30,,,,,,,False,False,False,10000,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:1,k,,ece,0.14039030821627888,0.13140430446603119,0.14950119434803494,30,0.03528923864956437,1.2311518548685279,0.025183920446968343,0.04532565115184491,3.855675458908081e-07,1.1567026376724243e-06,True,True,False,1,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:128,k,,ece,0.13416487190635623,0.1257081588612919,0.1423655037533462,30,0.029063802339641696,1.0446886504308328,0.01914547348538793,0.03843944024862092,1.0609626770019531e-05,2.1219253540039062e-05,True,True,False,128,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:16,k,,ece,0.2186245510815886,0.2100972485493978,0.22676762171263115,30,0.11352348151487407,3.3168753196038163,0.1017138170866602,0.12530006852774936,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,16,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:2,k,,ece,0.1941245122325131,0.18187484318345964,0.20645437248467774,30,0.08902344266579854,2.299634470258508,0.07538652645745211,0.10263214633259107,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,2,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:256,k,,ece,0.1254349222495084,0.11851280899003581,0.13261118116279808,30,0.02033385268279386,0.8175543963494688,0.011454495616114408,0.028940466155523804,0.0002562887966632843,0.0002562887966632843,True,True,False,256,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:32,k,,ece,0.16626839492920947,0.1590715426523006,0.17344586614812113,30,0.06116732536249492,2.141961027176363,0.05097520606239761,0.07091585577824974,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,32,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:4,k,,ece,0.22894387529032317,0.22022309940464022,0.23774139639065342,30,0.12384280572360865,3.997142928644934,0.11307102673759889,0.13486562191163512,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,4,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
arcene,l1_logistic,gb,none,k:64,k,,ece,0.143065537548608,0.13705510855918893,0.1492628785851204,30,0.0379644679818935,1.4827564825270763,0.028668747446119577,0.04657283303182166,2.0489096641540527e-07,8.195638656616211e-07,True,True,False,64,10000,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
