# STATUS: validated  (REPS=30)
# calibration_sha256: 6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
# calib_sha256: 6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
arrhythmia,l1_logistic,gb,none,frac:0.25,frac,0.25,accuracy,0.7691002949852508,0.7657817109144543,0.7724926253687318,30,-0.0527286135693215,-4.172534767500684,-0.057227138643067825,-0.048303834808259574,1.7213435893906393e-06,6.863714700234762e-06,True,True,False,70,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.33,frac,0.33,accuracy,0.7851769911504426,0.780457227138643,0.789749262536873,30,-0.03665191740412978,-2.4922833831175617,-0.04174041297935101,-0.031342182890855455,1.7159286750586906e-06,6.863714700234762e-06,True,True,False,92,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.5,frac,0.5,accuracy,0.8058259587020647,0.8025811209439527,0.8087758112094395,30,-0.016002949852507355,-1.2628841501398644,-0.020353982300884928,-0.011356932153392322,2.04127348710822e-05,4.08254697421644e-05,True,True,False,140,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.75,frac,0.75,accuracy,0.8097345132743361,0.8049410029498525,0.8143823746312684,30,-0.012094395280235974,-0.8110577421701625,-0.017182890855457215,-0.006561578171091444,0.00021102605396579698,0.00021102605396579698,True,True,False,209,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:1,frac,1.0,accuracy,0.8218289085545722,0.8184365781710914,0.8252949852507374,30,,,,,,,False,False,False,279,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:1,k,,accuracy,0.5917404129793511,0.5842164454277287,0.5988956489675517,30,-0.23008849557522124,-9.922233715668519,-0.23834808259587023,-0.22227138643067842,1.7278603148724103e-06,1.542390026466049e-05,True,True,False,1,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:128,k,,accuracy,0.805457227138643,0.8017699115044247,0.8089988938053099,30,-0.016371681415929186,-1.388922578146642,-0.02050147492625368,-0.012168141592920345,4.019788651191684e-06,1.542390026466049e-05,True,True,False,128,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:16,k,,accuracy,0.7148967551622418,0.7101769911504425,0.7195427728613569,30,-0.1069321533923304,-6.657165420199069,-0.11253871681415933,-0.10132743362831859,1.7289484360195754e-06,1.542390026466049e-05,True,True,False,16,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:2,k,,accuracy,0.6254424778761062,0.6200589970501476,0.6303834808259587,30,-0.19638643067846603,-12.445115373146464,-0.20199115044247787,-0.19100294985250735,1.7202594665136766e-06,1.542390026466049e-05,True,True,False,2,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:256,k,,accuracy,0.8206489675516224,0.8169616519174041,0.8241887905604719,30,-0.0011799410029498432,-0.10875168598280952,-0.004941002949852484,0.002656710914454269,0.5300459481774775,0.5300459481774775,False,False,False,256,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:32,k,,accuracy,0.7376843657817109,0.7337758112094396,0.7415191740412977,30,-0.08414454277286135,-5.786202518045984,-0.08923303834808259,-0.0789085545722714,1.7159286750586906e-06,1.542390026466049e-05,True,True,False,32,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:4,k,,accuracy,0.6550884955752212,0.6477876106194691,0.6623893805309732,30,-0.16674041297935097,-7.8560950929748525,-0.1742625368731563,-0.15929203539823006,1.7256857880058036e-06,1.542390026466049e-05,True,True,False,4,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:64,k,,accuracy,0.7683628318584071,0.764675516224189,0.7721238938053098,30,-0.053466076696165175,-3.4558279609153044,-0.058775811209439525,-0.04793510324483775,1.7137666960733877e-06,1.542390026466049e-05,True,True,False,64,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:8,k,,accuracy,0.6895280235988202,0.6805309734513275,0.698377581120944,30,-0.1323008849557522,-4.843393439236429,-0.14181415929203536,-0.12286135693215337,1.7311263949197288e-06,1.542390026466049e-05,True,True,False,8,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.25,frac,0.25,auroc,0.8362075651516647,0.8330749613855204,0.8393601169936574,30,-0.04613230799566201,-4.811009309195118,-0.04944958756449436,-0.042709536954878564,1.862645149230957e-09,7.450580596923828e-09,True,True,False,70,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.33,frac,0.33,auroc,0.8551395050773932,0.8505409970751585,0.8596603076013014,30,-0.027200368069933256,-2.113616096604308,-0.03175922639587235,-0.022713168359131085,1.862645149230957e-09,7.450580596923828e-09,True,True,False,92,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.5,frac,0.5,auroc,0.8783942949160338,0.8756981497913173,0.8811615235466166,30,-0.003945578231292502,-0.5544681182528867,-0.00654638667061026,-0.0014682375365605202,0.007111456245183945,0.01422291249036789,True,True,False,140,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.75,frac,0.75,auroc,0.8795287390318446,0.8764202898550726,0.882285418515232,30,-0.002811134115481928,-0.4431681682580238,-0.005000082158467234,-0.0006203785862170614,0.026228994131088257,0.026228994131088257,True,True,False,209,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:1,frac,1.0,auroc,0.8823398731473266,0.8804468270399947,0.8843202701370402,30,,,,,,,False,False,False,279,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:1,k,,auroc,0.5710555719872489,0.5606644237405107,0.5811931463406619,30,-0.3112843011600776,-10.614434749392409,-0.3212827237175064,-0.30104003582109173,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,1,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:128,k,,auroc,0.8770357225015611,0.8743481218574386,0.8797877189523153,30,-0.005304150645765519,-0.6292840110328333,-0.008429540898484977,-0.002408196128693008,0.0029870010912418365,0.005974002182483673,True,True,False,128,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:16,k,,auroc,0.776129021656972,0.7708329882677708,0.781255175983437,30,-0.10621085149035459,-6.7919116893859846,-0.11159068651615235,-0.1007630056853659,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,16,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:2,k,,auroc,0.6244391863025403,0.6163287242433205,0.6324862138091951,30,-0.25790068684478623,-10.498586737588736,-0.2663101235663347,-0.24935116993657364,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,2,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:256,k,,auroc,0.8832074665615036,0.8805815176312072,0.8856900325347531,30,0.000867593414177296,0.17007061680681504,-0.0009373130894869984,0.002667192480857099,0.370740607380867,0.370740607380867,False,False,False,256,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:32,k,,auroc,0.8012382924184166,0.7968417134969931,0.8056095336685398,30,-0.0811015807289099,-5.7528646450999945,-0.08589247099806105,-0.07621540306944033,1.7333066441991056e-06,5.1999199325973165e-06,True,True,False,32,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:4,k,,auroc,0.6717775805974563,0.6634844556179961,0.680110273094745,30,-0.2105622925498702,-8.606853700264873,-0.218911096322587,-0.2018815521377633,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,4,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:64,k,,auroc,0.8318321338197113,0.8287335929540898,0.834867692004338,30,-0.050507739327615084,-5.427040551859676,-0.0539374116796477,-0.04736005126688356,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,64,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:8,k,,auroc,0.7310447270695717,0.7225521295474712,0.739554561438102,30,-0.15129514607775477,-5.865480753310716,-0.16035740576423804,-0.14218906306483944,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,8,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.25,frac,0.25,brier,0.17417746281156266,0.17271006535047054,0.1756825850969822,30,0.034096275723081576,5.642223109507463,0.03198393065929494,0.036130937908971913,1.862645149230957e-09,7.450580596923828e-09,True,True,False,70,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.33,frac,0.33,brier,0.16179025575508893,0.15866399759048563,0.16491602098892175,30,0.021709068666607854,2.3160907194993148,0.018402875493304237,0.025009361444551174,1.862645149230957e-09,7.450580596923828e-09,True,True,False,92,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.5,frac,0.5,brier,0.1457667507113376,0.14361530884666954,0.14784544233259314,30,0.0056855636228564915,1.067332754345037,0.003803298059022332,0.007572818565610234,4.421919584274292e-06,8.843839168548584e-06,True,True,False,140,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:0.75,frac,0.75,brier,0.14447129313972612,0.14188879847150374,0.147153257354847,30,0.004390106051245032,0.6781523680067041,0.0021022939984106583,0.006656783171280786,0.0007978975772857666,0.0007978975772857666,True,True,False,209,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,frac:1,frac,1.0,brier,0.1400811870884811,0.13823240326892147,0.14187068311030226,30,,,,,,,False,False,False,279,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:1,k,,brier,0.24264364750247244,0.24014807793725143,0.24549339535076337,30,0.10256246041399139,11.741759144137168,0.09963957380089174,0.1056292407520145,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,1,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:128,k,,brier,0.14643395519418434,0.14417712078929815,0.14857614522197632,30,0.006352768105703273,1.0151451408690817,0.004207585489968458,0.008604080876134798,1.218356192111969e-05,2.436712384223938e-05,True,True,False,128,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:16,k,,brier,0.21029226441567464,0.20688111383235228,0.21368050909057035,30,0.0702110773271935,6.419155520672352,0.06641023824160526,0.07393833530976142,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,16,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:2,k,,brier,0.23881275665494353,0.23630445224215868,0.2414626463244505,30,0.09873156956646247,10.79485990488296,0.09557016934604544,0.10192685000192321,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,2,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
arrhythmia,l1_logistic,gb,none,k:256,k,,brier,0.1395698164003715,0.1374019315143361,0.14179007563218515,30,-0.0005113706881095979,-0.13694123031468639,-0.0018199392847856783,0.0008398723764334578,0.338741784915328,0.338741784915328,False,False,False,256,279,6cbf6ff6a5edcd154591f80e129fa228adb6fbf2f599d3a819231082884e93dd
