# STATUS: validated  (REPS=30)
# calibration_sha256: eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
# calib_sha256: eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
gli85,l1_logistic,gb,none,frac:1,frac,1.0,accuracy,0.8694117647058824,0.8588235294117648,0.8792254901960784,30,,,,,,,False,False,False,22283,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:1,k,,accuracy,0.7172549019607846,0.7027450980392159,0.7313725490196081,30,-0.15215686274509804,-3.3909537322848307,-0.1686274509803921,-0.13685294117647068,1.7094495621956692e-06,1.5385046059761022e-05,True,True,False,1,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:128,k,,accuracy,0.8474509803921569,0.8364705882352942,0.8584313725490197,30,-0.021960784313725494,-0.5067710510936766,-0.036862745098039204,-0.006666666666666662,0.014085894663481978,0.028171789326963955,True,True,False,128,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:16,k,,accuracy,0.8474509803921569,0.8364705882352942,0.8584313725490197,30,-0.0219607843137255,-0.5770457862981723,-0.03490196078431375,-0.008627450980392167,0.0038679218424218682,0.017979596994895243,True,True,False,16,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:2,k,,accuracy,0.767450980392157,0.7572549019607845,0.7776470588235296,30,-0.1019607843137255,-2.457525818478912,-0.11568627450980393,-0.08745098039215685,2.510039026848977e-06,1.7570273187942838e-05,True,True,False,2,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:256,k,,accuracy,0.8454901960784315,0.8360784313725491,0.8549019607843138,30,-0.023921568627450988,-0.6332806154499239,-0.03686274509803922,-0.01058823529411765,0.004121033967225256,0.017979596994895243,True,True,False,256,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:32,k,,accuracy,0.843921568627451,0.8329411764705884,0.8552941176470589,30,-0.025490196078431383,-0.6271168612749891,-0.03921568627450984,-0.01098039215686275,0.0035959193989790485,0.017979596994895243,True,True,False,32,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:4,k,,accuracy,0.795686274509804,0.7870588235294118,0.8039215686274512,30,-0.07372549019607842,-2.2759142621646533,-0.08470588235294119,-0.061960784313725495,1.8769963315268495e-06,1.5385046059761022e-05,True,True,False,4,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:64,k,,accuracy,0.8498039215686275,0.839607843137255,0.86,30,-0.01960784313725492,-0.4600185280159072,-0.03372549019607845,-0.004705882352941186,0.01907923775416551,0.028171789326963955,True,True,False,64,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:8,k,,accuracy,0.8243137254901962,0.8133333333333336,0.835294117647059,30,-0.045098039215686274,-1.2118582512876088,-0.05843137254901962,-0.03215686274509803,1.2004415689956045e-05,7.202649413973627e-05,True,True,False,8,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
