# STATUS: validated  (REPS=30)
# calibration_sha256: eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
# calib_sha256: eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
prostate_ge,l1_logistic,gb,none,frac:1,frac,1.0,accuracy,0.9189542483660129,0.9143790849673202,0.9238562091503266,30,,,,,,,False,False,False,5966,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:1,k,,accuracy,0.8300653594771242,0.8199346405228757,0.8388888888888888,30,-0.08888888888888888,-3.2203913334087084,-0.09901960784313726,-0.07973856209150329,1.6688878538480105e-06,1.5019990684632094e-05,True,True,False,1,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:128,k,,accuracy,0.9084967320261437,0.9029411764705881,0.9140522875816993,30,-0.01045751633986925,-0.6972675643679246,-0.016013071895424818,-0.005228758169934665,0.0014408073157297365,0.005763229262918946,True,True,False,128,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:16,k,,accuracy,0.9088235294117647,0.903921568627451,0.9137254901960784,30,-0.010130718954248353,-0.634290342419841,-0.01601307189542482,-0.004901960784313734,0.0021686155366244333,0.0065058466098733,True,True,False,16,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:2,k,,accuracy,0.8741830065359476,0.8653594771241829,0.8830065359477125,30,-0.04477124183006536,-1.5449825282462133,-0.0545751633986928,-0.03431372549019606,7.526522180035748e-06,5.2685655260250236e-05,True,True,False,2,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:256,k,,accuracy,0.9055555555555553,0.8993464052287582,0.911111111111111,30,-0.013398692810457509,-0.725292646235047,-0.020261437908496705,-0.007189542483660097,0.0003968169182932728,0.001984084591466364,True,True,False,256,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:32,k,,accuracy,0.9114379084967319,0.9071895424836599,0.9160130718954247,30,-0.0075163398692810485,-0.5106547909158367,-0.012745098039215719,-0.0022875816993464674,0.00975777694181747,0.00975777694181747,True,True,False,32,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:4,k,,accuracy,0.8895424836601307,0.8826797385620914,0.8964052287581699,30,-0.029411764705882353,-1.5691603330900858,-0.035947712418300685,-0.02320261437908494,2.511735793117334e-06,2.0093886344938673e-05,True,True,False,4,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:64,k,,accuracy,0.9101307189542484,0.9052287581699345,0.915032679738562,30,-0.008823529411764694,-0.6120793644008569,-0.014052287581699352,-0.0039215686274509404,0.00437248976577254,0.00874497953154508,True,True,False,64,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:8,k,,accuracy,0.8967320261437907,0.8915032679738562,0.9019607843137255,30,-0.022222222222222206,-1.2338695841830374,-0.028758169934640525,-0.016013071895424835,1.7596717299373784e-05,0.0001055803037962427,True,True,False,8,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,frac:1,frac,1.0,auroc,0.9591666666666667,0.9558589743589744,0.9623336538461539,30,,,,,,,False,False,False,5966,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:1,k,,auroc,0.9320192307692307,0.9251397435897436,0.937692467948718,30,-0.0271474358974359,-1.4449965621828873,-0.03416025641025641,-0.020890865384615393,1.862645149230957e-08,1.6763806343078613e-07,True,True,False,1,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:128,k,,auroc,0.9504871794871795,0.9460641025641026,0.9548333333333333,30,-0.008679487179487182,-0.9459760442098538,-0.011974679487179484,-0.0055641025641026045,4.7925843352491737e-05,0.00028755506011495045,True,True,False,128,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:16,k,,auroc,0.9541410256410255,0.9497051282051283,0.9583592948717948,30,-0.005025641025641026,-0.4949736583077243,-0.008756410256410241,-0.001641025641025653,0.02665232187922616,0.05330464375845232,False,False,False,16,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:2,k,,auroc,0.9438333333333333,0.9395959935897435,0.9476730769230769,30,-0.015333333333333362,-1.269580752462387,-0.019621794871794867,-0.011069871794871814,2.0489096641540527e-07,1.6391277313232422e-06,True,True,False,2,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:256,k,,auroc,0.9493717948717948,0.9448974358974358,0.9537182692307692,30,-0.009794871794871833,-1.0882427915628063,-0.013013141025641082,-0.0067304487179487265,1.1235346125409313e-05,7.864742287786519e-05,True,True,False,256,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:32,k,,auroc,0.9513717948717947,0.9464996794871795,0.9559362179487181,30,-0.007794871794871808,-0.7798877552277668,-0.011359294871794883,-0.004461538461538484,0.00047860549458226387,0.0014358164837467917,True,True,False,32,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:4,k,,auroc,0.947923076923077,0.9426858974358975,0.9526860576923077,30,-0.01124358974358978,-0.7969000269102704,-0.01621169871794877,-0.006461538461538455,0.0003449581563472748,0.0013798326253890991,True,True,False,4,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:64,k,,auroc,0.9506666666666668,0.9460381410256408,0.9551923076923077,30,-0.008499999999999997,-0.8845443147364339,-0.011833333333333283,-0.005230448717948673,0.00011480050400283354,0.0005740025200141677,True,True,False,64,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:8,k,,auroc,0.9539038461538463,0.9491153846153846,0.9584488782051279,30,-0.005262820512820528,-0.3821071496201113,-0.010320833333333364,-0.0007049679487179277,0.07353547947704286,0.07353547947704286,False,False,False,8,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,frac:1,frac,1.0,brier,0.06638816059883808,0.06274852903895356,0.0699850905186925,30,,,,,,,False,False,False,5966,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:1,k,,brier,0.11076741880526998,0.10591096542104662,0.11637719714317034,30,0.04437925820643191,2.6415853942302556,0.03864533687621955,0.05046949670383255,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,1,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:128,k,,brier,0.07629513099962813,0.07239505287844479,0.08029333442956917,30,0.00990697040079006,0.990190808769955,0.0065255261375383004,0.013603574513503667,4.421919584274292e-06,2.210959792137146e-05,True,True,False,128,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:16,k,,brier,0.07612416429010897,0.07245267030957532,0.0798922081935559,30,0.009736003691270898,0.891518033751152,0.006081797528242318,0.013762387464588945,2.6885420083999634e-05,8.06562602519989e-05,True,True,False,16,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:2,k,,brier,0.09766190201645726,0.09240254052989307,0.10291687616165175,30,0.03127374141761917,1.9663181505538172,0.02562300243925914,0.03671217145695784,3.725290298461914e-09,2.9802322387695312e-08,True,True,False,2,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:256,k,,brier,0.07739682322797854,0.0731516044813071,0.08185706988697028,30,0.011008662629140494,1.0778386703668488,0.007566329932789286,0.014701812688659681,5.973502993583679e-06,2.3894011974334717e-05,True,True,False,256,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
prostate_ge,l1_logistic,gb,none,k:32,k,,brier,0.07449237753166864,0.07063238329528038,0.07833332897152985,30,0.00810421693283057,0.8540327889708671,0.004882636767507563,0.011643156044840716,3.453157842159271e-05,8.06562602519989e-05,True,True,False,32,5966,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
