dataset,p,n,n_over_p,k,auroc_delta
arrhythmia,279,452,1.6201,1,-0.2775
arrhythmia,279,452,1.6201,8,-0.0825
arrhythmia,279,452,1.6201,64,-0.0056
arrhythmia,279,452,1.6201,256,0.0013
prostate_ge,5966,102,0.0171,1,-0.0431
prostate_ge,5966,102,0.0171,8,0.0065
prostate_ge,5966,102,0.0171,64,0.0072
prostate_ge,5966,102,0.0171,256,0.005
arcene,10000,200,0.02,1,-0.2976
arcene,10000,200,0.02,8,-0.1569
arcene,10000,200,0.02,64,-0.0401
arcene,10000,200,0.02,256,-0.012
gli85,22283,85,0.0038,1,-0.159
gli85,22283,85,0.0038,8,-0.0336
gli85,22283,85,0.0038,64,0.0019
gli85,22283,85,0.0038,256,0.003
