classifier,frac,delta,mean
gb,0.25,-0.021470307929935234,0.8613222035996363
gb,0.33,-0.013265634756317932,0.8695268767732536
gb,0.5,-0.0022761181767393,0.8805163933528323
gb,0.75,-0.0009140403343301787,0.8818784711952413
gb,1.0,,0.8827925115295715
logistic,0.25,0.015907631973884503,0.7933988410178885
logistic,0.33,0.012115854393287067,0.7896070634372911
logistic,0.5,0.007260398523338434,0.7847516075673425
logistic,0.75,0.0034202022193740335,0.780911411263378
logistic,1.0,,0.7774912090440042
rf,0.25,-0.006646729545280267,0.8751862806314152
rf,0.33,-0.0020999704229518333,0.8797330397537437
rf,0.5,0.0029478458049886336,0.8847808559816842
rf,0.75,0.0009379210621446667,0.8827709312388402
rf,1.0,,0.8818330101766955
