dataset,p,classifier,k_features,delta,mean,mworse,mbetter
arrhythmia,279,gb,1,-0.29585439328710544,0.586938118242466,3,0
arrhythmia,279,gb,2,-0.23074720387349787,0.6520453076560737,3,0
arrhythmia,279,gb,4,-0.17098020528662347,0.711812306242948,3,0
arrhythmia,279,gb,8,-0.11401064773735577,0.7687818637922157,3,0
arrhythmia,279,gb,16,-0.07383953903622634,0.8089529724933451,3,0
arrhythmia,279,gb,32,-0.0457156002497617,0.8370769112798099,3,0
arrhythmia,279,gb,64,-0.024312990896841764,0.8584795206327297,3,0
arrhythmia,279,gb,128,-0.0034394820730224,0.8793530294565493,2,0
arrhythmia,279,gb,256,0.000505438890532,0.8832979504201036,0,0
arrhythmia,279,logistic,1,-0.22732130533372763,0.5501699037102764,3,0
arrhythmia,279,logistic,2,-0.16710133973073926,0.6103898693132648,3,0
arrhythmia,279,logistic,4,-0.09555128331525843,0.6819399257287456,3,0
arrhythmia,279,logistic,8,-0.0411473703813248,0.7363438386626792,2,0
arrhythmia,279,logistic,16,-0.005923735033465866,0.7715674740105382,1,0
arrhythmia,279,logistic,32,0.0097562632138201,0.7872474722578242,0,3
arrhythmia,279,logistic,64,0.015161852180485635,0.7926530612244899,0,3
arrhythmia,279,logistic,128,0.007537765508779934,0.785028974552784,0,2
arrhythmia,279,logistic,256,0.0024919210840535,0.7799831301280578,0,1
arrhythmia,279,rf,1,-0.30940298180463804,0.5724300283720574,3,0
arrhythmia,279,rf,2,-0.243667225344244,0.6381657848324515,3,0
arrhythmia,279,rf,4,-0.16571056119710362,0.7161224489795918,3,0
arrhythmia,279,rf,8,-0.09240570946575087,0.7894273007109446,3,0
arrhythmia,279,rf,16,-0.048191965997349005,0.8336410441793465,3,0
arrhythmia,279,rf,32,-0.0278010012378542,0.8540320089388413,3,0
arrhythmia,279,rf,64,-0.007573915234370734,0.8742590949423247,1,1
arrhythmia,279,rf,128,0.0030363578603743667,0.8848693680370698,0,1
arrhythmia,279,rf,256,0.0010235849573323665,0.8828565951340278,0,0
prostate_ge,5966,gb,1,-0.0576623931623931,0.9012094017094018,3,0
prostate_ge,5966,gb,2,-0.030294871794871767,0.928576923076923,3,0
prostate_ge,5966,gb,4,-0.018478632478632465,0.9403931623931623,3,0
prostate_ge,5966,gb,8,-0.009373931623931601,0.9494978632478633,1,0
prostate_ge,5966,gb,16,-0.006523504273504267,0.9523482905982905,1,0
prostate_ge,5966,gb,32,-0.004,0.9548717948717949,2,0
prostate_ge,5966,gb,64,-0.0036923076923076666,0.9551794871794872,1,0
prostate_ge,5966,gb,128,-0.0031452991452991,0.9557264957264958,1,0
prostate_ge,5966,gb,256,-0.0034059829059829,0.955465811965812,1,0
prostate_ge,5966,logistic,1,-0.026980769230769197,0.9220448717948716,1,0
prostate_ge,5966,logistic,2,-0.006019230769230766,0.9430064102564102,1,1
prostate_ge,5966,logistic,4,0.008102564102564101,0.9571282051282051,0,2
prostate_ge,5966,logistic,8,0.010474358974358932,0.9594999999999999,0,2
prostate_ge,5966,logistic,16,0.006995726495726401,0.9560213675213675,0,2
prostate_ge,5966,logistic,32,0.005299145299145234,0.9543247863247863,0,1
prostate_ge,5966,logistic,64,0.006076923076923001,0.9551025641025642,0,2
prostate_ge,5966,logistic,128,0.0021752136752136004,0.9512008547008547,0,0
prostate_ge,5966,logistic,256,0.0031367521367521,0.9521623931623932,0,2
prostate_ge,5966,rf,1,-0.044662393162393066,0.8874850427350428,3,0
prostate_ge,5966,rf,2,-0.0066388888888889,0.925508547008547,1,2
prostate_ge,5966,rf,4,0.0102307692307692,0.9423782051282051,0,2
prostate_ge,5966,rf,8,0.018273504273504167,0.9504209401709401,0,3
prostate_ge,5966,rf,16,0.020070512820512764,0.9522179487179487,0,3
prostate_ge,5966,rf,32,0.0194871794871794,0.9516346153846152,0,3
prostate_ge,5966,rf,64,0.0193653846153845,0.9515128205128205,0,3
prostate_ge,5966,rf,128,0.017700854700854633,0.9498482905982906,0,3
prostate_ge,5966,rf,256,0.015311965811965735,0.9474594017094017,0,3
