# STATUS: validated  (REPS=30)
# calibration_sha256: e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
# calib_sha256: e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
bcw,l1_logistic,gb,beta,frac:0.25,frac,0.25,accuracy,0.9464473056747736,0.94482594182165,0.9480686695278969,30,-0.019504053409632762,-3.9643783523206193,-0.021268478779208348,-0.017787315212207847,1.707294403549849e-06,1.707294403549849e-06,True,True,False,2,9,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
bcw,l1_logistic,gb,beta,frac:1,frac,1.0,accuracy,0.965951359084406,0.9652360515021458,0.9667143538388171,30,,,,,,,False,False,False,9,9,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
bcw,l1_logistic,gb,beta,frac:0.25,frac,0.25,auroc,0.9772368587943246,0.9761858945321228,0.9782729272741547,30,-0.013818423961296674,-5.477819873837442,-0.01470614615231299,-0.012944906744701608,1.862645149230957e-09,1.862645149230957e-09,True,True,False,2,9,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
bcw,l1_logistic,gb,beta,frac:1,frac,1.0,auroc,0.9910552827556215,0.9905638804834296,0.9915158289393418,30,,,,,,,False,False,False,9,9,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
bcw,l1_logistic,gb,beta,frac:0.25,frac,0.25,brier,0.04223326790312961,0.04142402570699403,0.04310500517227917,30,0.014910361143617842,6.7249189141487795,0.014173758361896353,0.015743473789728547,1.862645149230957e-09,1.862645149230957e-09,True,True,False,2,9,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
bcw,l1_logistic,gb,beta,frac:1,frac,1.0,brier,0.027322906759511774,0.026955318402591088,0.027745898592668187,30,,,,,,,False,False,False,9,9,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
bcw,l1_logistic,gb,beta,frac:0.25,frac,0.25,ece,0.023344893212343718,0.022107977523291446,0.024575789323534644,30,0.006515447157183237,1.1524140242469527,0.004524513939406437,0.00845834717051246,2.348795533180237e-06,2.348795533180237e-06,True,True,False,2,9,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
bcw,l1_logistic,gb,beta,frac:1,frac,1.0,ece,0.01682944605516048,0.015303499080430953,0.01842932026609572,30,,,,,,,False,False,False,9,9,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
bcw,l1_logistic,gb,beta,frac:0.25,frac,0.25,aurc,0.01683561656094069,0.0156386834458056,0.01811781400856079,30,0.012891685650265498,3.807054716957473,0.011745012385980653,0.014118757917469417,1.862645149230957e-09,1.862645149230957e-09,True,True,False,2,9,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
bcw,l1_logistic,gb,beta,frac:1,frac,1.0,aurc,0.003943930910675197,0.003758109393006991,0.004138614677163522,30,,,,,,,False,False,False,9,9,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
