# STATUS: validated  (REPS=30)
# calibration_sha256: e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
# calib_sha256: e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
diabetes130,l1_logistic,gb,beta,frac:0.25,frac,0.25,accuracy,0.8883887070939339,0.8883821559243863,0.888394930705004,30,-1.3757456049838061e-05,-0.5139322854731497,-2.358421037115625e-05,-4.5858186832744195e-06,0.028121613691549044,0.028121613691549044,True,True,False,4,16,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
diabetes130,l1_logistic,gb,beta,frac:1,frac,1.0,accuracy,0.8884024645499836,0.8883952582634813,0.8884099983949635,30,,,,,,,False,False,False,16,16,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
diabetes130,l1_logistic,gb,beta,frac:0.25,frac,0.25,auroc,0.6648213346497678,0.6645791877529738,0.6650342233560542,30,-0.005392212897652249,-7.535532801880197,-0.005649838215633093,-0.005141915046311018,1.862645149230957e-09,1.862645149230957e-09,True,True,False,4,16,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
diabetes130,l1_logistic,gb,beta,frac:1,frac,1.0,auroc,0.67021354754742,0.6699780277726406,0.6704417362750562,30,,,,,,,False,False,False,16,16,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
diabetes130,l1_logistic,gb,beta,frac:0.25,frac,0.25,brier,0.09511884551748369,0.09510520005771554,0.0951319407593637,30,0.0002725372361007783,8.107302776239832,0.0002607104263904937,0.0002843361449284479,1.862645149230957e-09,1.862645149230957e-09,True,True,False,4,16,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
diabetes130,l1_logistic,gb,beta,frac:1,frac,1.0,brier,0.09484630828138291,0.09483622197233704,0.0948563098683995,30,,,,,,,False,False,False,16,16,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
diabetes130,l1_logistic,gb,beta,frac:0.25,frac,0.25,ece,0.005229989329419103,0.005063647095654663,0.005396742894743999,30,-0.0026564867579124537,-5.0084379925585765,-0.0028451137786140025,-0.002480967054988421,1.862645149230957e-09,1.862645149230957e-09,True,False,True,4,16,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
diabetes130,l1_logistic,gb,beta,frac:1,frac,1.0,ece,0.007886476087331557,0.007661552785675029,0.008129171536972436,30,,,,,,,False,False,False,16,16,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
diabetes130,l1_logistic,gb,beta,frac:0.25,frac,0.25,aurc,0.0666931855557789,0.06661984835929338,0.06677222711321117,30,0.001086924082080693,4.073932606368567,0.0009921109917727137,0.0011827567545670361,1.862645149230957e-09,1.862645149230957e-09,True,True,False,4,16,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
diabetes130,l1_logistic,gb,beta,frac:1,frac,1.0,aurc,0.06560626147369822,0.06554097402645824,0.06567381716440963,30,,,,,,,False,False,False,16,16,e23d49d8a7ff8deab9921d270751b0776348543fbb206713fdfdfabd6402c8af
