classifier,calibrate,bin_type,bins,mean_penalty,n_units,sign,p_ttest,p_wilcoxon,p_holm,material
gb,isotonic,equal_freq,5,0.00357,36,+,0.0329,0.0442,0.1974,False
gb,isotonic,equal_freq,10,0.00217,36,+,0.2169,0.1079,1.0,False
gb,isotonic,equal_freq,15,0.00224,36,+,0.2904,0.0978,1.0,False
gb,isotonic,equal_freq,20,0.00135,36,+,0.5671,0.0915,1.0,False
gb,isotonic,equal_freq,30,-0.00087,36,-,0.7697,0.3877,1.0,False
gb,isotonic,equal_freq,50,-0.00456,36,-,0.2473,0.8828,1.0,False
gb,isotonic,equal_width,5,0.00433,36,+,0.0166,0.0308,0.0998,False
gb,isotonic,equal_width,10,0.00106,36,+,0.615,0.1763,1.0,False
gb,isotonic,equal_width,15,0.00028,36,+,0.9017,0.1615,1.0,False
gb,isotonic,equal_width,20,-0.0009,36,-,0.7169,0.203,1.0,False
gb,isotonic,equal_width,30,-0.00274,36,-,0.3506,0.6357,1.0,False
gb,isotonic,equal_width,50,-0.00535,36,-,0.1056,0.4697,0.5279,False
gb,none,equal_freq,5,-0.01337,36,-,0.0028,0.0033,0.0112,True
gb,none,equal_freq,10,-0.01297,36,-,0.0009,0.0009,0.0055,True
gb,none,equal_freq,15,-0.01136,36,-,0.002,0.0023,0.0098,True
gb,none,equal_freq,20,-0.0102,36,-,0.0046,0.0105,0.0138,True
gb,none,equal_freq,30,-0.00766,36,-,0.029,0.1266,0.058,False
gb,none,equal_freq,50,-0.00658,36,-,0.0895,0.3707,0.0895,False
gb,none,equal_width,5,-0.02155,36,-,0.0,0.0,0.0002,True
gb,none,equal_width,10,-0.01886,36,-,0.0001,0.0,0.0004,True
gb,none,equal_width,15,-0.01749,36,-,0.0001,0.0001,0.0005,True
gb,none,equal_width,20,-0.01698,36,-,0.0003,0.0002,0.001,True
gb,none,equal_width,30,-0.01576,36,-,0.0006,0.0008,0.0011,True
gb,none,equal_width,50,-0.01365,36,-,0.0019,0.0031,0.0019,True
gb,sigmoid,equal_freq,5,-0.00266,36,-,0.1755,0.1763,1.0,False
gb,sigmoid,equal_freq,10,0.0005,36,+,0.7912,0.9567,1.0,False
gb,sigmoid,equal_freq,15,0.00155,36,+,0.4153,0.4891,1.0,False
gb,sigmoid,equal_freq,20,0.00175,36,+,0.3499,0.1663,1.0,False
gb,sigmoid,equal_freq,30,0.00049,36,+,0.8091,0.5707,1.0,False
gb,sigmoid,equal_freq,50,-0.00093,36,-,0.709,0.7037,1.0,False
gb,sigmoid,equal_width,5,-0.0064,36,-,0.0096,0.0153,0.0579,False
gb,sigmoid,equal_width,10,-0.00395,36,-,0.1234,0.192,0.6169,False
gb,sigmoid,equal_width,15,-0.0031,36,-,0.258,0.414,1.0,False
gb,sigmoid,equal_width,20,-0.00304,36,-,0.2636,0.4414,1.0,False
gb,sigmoid,equal_width,30,-0.00284,36,-,0.3292,0.5813,1.0,False
gb,sigmoid,equal_width,50,-0.00313,36,-,0.261,0.4507,1.0,False
