dataset,method,classifier,rep,penalty_margin,penalty_d
cleveland,mutual_info,rf,0,0.0409968909317536,-0.0086300028197493
cleveland,mutual_info,rf,1,0.0661946701479676,0.0001997295141964
cleveland,mutual_info,rf,2,0.0339452374957215,-0.0141869852018541
cleveland,mutual_info,rf,3,0.1085846621425604,0.052286071576231
cleveland,mutual_info,rf,4,0.0709797658418069,0.0150243703186398
cleveland,mutual_info,rf,5,0.081451324069031,0.0344587986830429
cleveland,mutual_info,rf,6,0.0653759733177579,0.0146917719305951
cleveland,mutual_info,rf,7,0.0822291724683707,0.0294158195231735
cleveland,mutual_info,rf,8,0.0531006231834498,-0.0037243112055924
cleveland,mutual_info,rf,9,0.0600779200584866,0.0387788236111598
cleveland,mutual_info,rf,10,0.0711364118881472,0.0059018458105007
cleveland,mutual_info,rf,11,0.056868983631177,0.0129907884322131
cleveland,mutual_info,rf,12,0.0791353688175545,0.0138986836359313
cleveland,mutual_info,rf,13,0.0579264728423409,-0.0058799169537999
cleveland,mutual_info,rf,14,0.0696899113580903,0.0192383105737795
cleveland,mutual_info,rf,15,0.0320038374356977,-0.012299749728143
cleveland,mutual_info,rf,16,0.0687511360290589,0.0165056215294532
cleveland,mutual_info,rf,17,0.0346557014580042,-0.0231019297167247
cleveland,mutual_info,rf,18,0.0482978116137536,0.0263741058280074
cleveland,mutual_info,rf,19,0.0671766299297447,0.0363590653168986
cleveland,mutual_info,rf,20,0.0615723546981244,0.0345067115146342
cleveland,mutual_info,rf,21,0.0624752974080776,0.0173201708640522
cleveland,mutual_info,rf,22,0.0793903217955179,0.0193829448048921
cleveland,mutual_info,rf,23,0.0606333073610438,0.0581909663378219
cleveland,mutual_info,rf,24,0.0480192393922586,0.0117143804480988
cleveland,mutual_info,rf,25,0.0572042782121652,0.0007281334219887
cleveland,mutual_info,rf,26,0.0505845132975179,0.0223243684702227
cleveland,mutual_info,rf,27,0.068110070477598,0.047830385554208
cleveland,mutual_info,rf,28,0.0340149851603046,-0.0025246752266512
cleveland,mutual_info,rf,29,0.1219761534409629,0.0316576248578239
cleveland,mutual_info,logistic,0,0.0529699600307284,0.0254193615989831
cleveland,mutual_info,logistic,1,0.0309907396027411,0.0270227184100673
cleveland,mutual_info,logistic,2,0.0452171033116136,0.038313223502473
cleveland,mutual_info,logistic,3,0.0554554530027965,0.0082206117976049
cleveland,mutual_info,logistic,4,0.0563519833109007,0.0268878710646028
cleveland,mutual_info,logistic,5,0.0577175456330593,0.025411474655302
cleveland,mutual_info,logistic,6,0.0581232035093512,0.0123278129605436
cleveland,mutual_info,logistic,7,0.0212867260056499,0.0072374846208088
cleveland,mutual_info,logistic,8,0.065185428316964,0.0149068513817894
cleveland,mutual_info,logistic,9,0.0595966449626844,0.0027275375226298
cleveland,mutual_info,logistic,10,0.0576544963024345,0.013989715611371
cleveland,mutual_info,logistic,11,0.0664737281792738,0.0260276973881412
cleveland,mutual_info,logistic,12,0.0637668920240489,0.0154355015226763
cleveland,mutual_info,logistic,13,0.0505907122223324,0.0293051479889211
cleveland,mutual_info,logistic,14,0.0637996004533047,0.0237293560688478
cleveland,mutual_info,logistic,15,0.0357546149768137,0.0116536023741786
cleveland,mutual_info,logistic,16,0.0358869189892958,0.0249597869586751
cleveland,mutual_info,logistic,17,0.0576324366539027,0.0215372678745593
cleveland,mutual_info,logistic,18,0.0583147814660056,0.008955092791394
cleveland,mutual_info,logistic,19,0.0326337074358034,0.0031583302870428
cleveland,mutual_info,logistic,20,0.0598302449340389,0.0238156755606654
cleveland,mutual_info,logistic,21,0.0115610683276845,0.0082421757246851
cleveland,mutual_info,logistic,22,0.0433276823551068,0.0052538851723272
cleveland,mutual_info,logistic,23,0.0485290350296088,0.0240569383773826
cleveland,mutual_info,logistic,24,0.0539628915620748,0.018492707863208
cleveland,mutual_info,logistic,25,0.0541840207746874,0.0224896276545863
cleveland,mutual_info,logistic,26,0.0439838552297103,0.0193946071282745
cleveland,mutual_info,logistic,27,0.0496469114747775,0.0219347492612588
cleveland,mutual_info,logistic,28,0.0262085636565606,0.0180411659836209
cleveland,mutual_info,logistic,29,0.0604356879021037,0.0104824558244489
cleveland,rf_importance,rf,0,0.0773335120784117,0.0871230872809005
cleveland,rf_importance,rf,1,0.0742199838525702,0.0448573275575322
cleveland,rf_importance,rf,2,0.1069547439838261,0.0788565238014764
cleveland,rf_importance,rf,3,0.077126009678479,0.0232220868509765
cleveland,rf_importance,rf,4,0.0814262409441793,0.092025816170077
cleveland,rf_importance,rf,5,0.0830575791346125,0.0606881761352328
cleveland,rf_importance,rf,6,0.0847127558418516,0.0944941496271282
cleveland,rf_importance,rf,7,0.1021162422244714,0.0942516720488484
cleveland,rf_importance,rf,8,0.0771226539772097,0.0407515694577376
cleveland,rf_importance,rf,9,0.1130386492643983,0.0679081361125778
cleveland,rf_importance,rf,10,0.0906746055847086,0.0816912483439553
cleveland,rf_importance,rf,11,0.1063121675051283,0.0558585448899965
cleveland,rf_importance,rf,12,0.0751429080161066,0.0835957267450729
cleveland,rf_importance,rf,13,0.1011271361286455,0.0703598554733022
