# STATUS: validated  (REPS=30)
# calibration_sha256: aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
# calib_sha256: aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
arrhythmia,l1_logistic,gb,none,frac:0.25,frac,0.25,accuracy,0.5796666666666666,0.5660000000000002,0.5939999999999998,30,-0.038666666666666655,-0.8158111446370495,-0.054666666666666655,-0.02166666666666665,0.0004651821990347991,0.0013955465971043973,True,True,False,70,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,frac:0.33,frac,0.33,accuracy,0.5690000000000001,0.5556666666666666,0.5833333333333334,30,-0.04933333333333333,-1.1391823266247192,-0.06366666666666668,-0.03366666666666667,2.690274186926437e-05,0.00010761096747705747,True,True,False,92,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,frac:0.5,frac,0.5,accuracy,0.5926666666666667,0.5786666666666668,0.606675,30,-0.02566666666666667,-0.5590074441784235,-0.041666666666666664,-0.009000000000000005,0.0071359866371506365,0.0071359866371506365,True,True,False,140,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,frac:0.75,frac,0.75,accuracy,0.5913333333333334,0.5803333333333334,0.602,30,-0.027000000000000007,-0.629028287271356,-0.04133333333333334,-0.011666666666666681,0.0034596102700395147,0.0069192205400790295,True,True,False,209,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,frac:1,frac,1.0,accuracy,0.6183333333333334,0.6019916666666666,0.6343333333333333,30,,,,,,,False,False,False,279,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:1,k,,accuracy,0.5419999999999999,0.5376666666666666,0.5463333333333333,30,-0.07633333333333331,-1.6657754838172347,-0.09199999999999998,-0.05999999999999995,2.498188279808423e-06,2.0909298236738957e-05,True,True,False,1,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:128,k,,accuracy,0.5893333333333335,0.575,0.6043333333333334,30,-0.02900000000000001,-0.6779106442076676,-0.043333333333333356,-0.01366666666666667,0.0020794449780125656,0.004158889956025131,True,True,False,128,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:16,k,,accuracy,0.557,0.541,0.5736666666666667,30,-0.06133333333333334,-1.1266293173806876,-0.08033333333333333,-0.042333333333333334,1.519071861683515e-05,7.595359308417575e-05,True,True,False,16,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:2,k,,accuracy,0.5353333333333334,0.5240000000000001,0.5466749999999999,30,-0.083,-1.6210059019502585,-0.10066666666666665,-0.06533333333333333,2.323255359637662e-06,2.0909298236738957e-05,True,True,False,2,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:256,k,,accuracy,0.6179999999999999,0.6066666666666667,0.6293333333333333,30,-0.00033333333333333733,-0.011286157202608357,-0.010333333333333335,0.010000000000000002,0.8071000278789283,0.8071000278789283,False,False,False,256,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:32,k,,accuracy,0.5803333333333334,0.5660000000000001,0.595,30,-0.038000000000000006,-0.817368885718937,-0.05366666666666667,-0.021333333333333333,0.0007101802149084316,0.0022184328134850734,True,True,False,32,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:4,k,,accuracy,0.5256666666666666,0.507,0.544,30,-0.09266666666666666,-1.2963371754991562,-0.11700833333333335,-0.06699999999999999,1.1280463292648764e-05,6.768277975589258e-05,True,True,False,4,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:64,k,,accuracy,0.5793333333333331,0.5653333333333332,0.594,30,-0.03899999999999999,-0.7979781727217357,-0.05566666666666665,-0.021333333333333333,0.0005546082033712683,0.0022184328134850734,True,True,False,64,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:8,k,,accuracy,0.5419999999999999,0.5283333333333333,0.5556666666666665,30,-0.07633333333333334,-1.374072969950417,-0.09533333333333333,-0.057000000000000016,4.733846679233734e-06,3.3136926754636136e-05,True,True,False,8,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,frac:0.25,frac,0.25,auroc,0.5918008588298443,0.5802861647879765,0.6037728126677401,30,-0.0660762211486849,-1.5117089071077146,-0.08114969135802468,-0.05022712023617822,8.009374141693115e-08,2.4028122425079346e-07,True,True,False,70,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,frac:0.33,frac,0.33,auroc,0.5910359634997318,0.5789318303811057,0.6032075281803543,30,-0.06684111647879759,-1.645112798035256,-0.08081119162640901,-0.05242887815351582,1.862645149230957e-08,7.450580596923828e-08,True,True,False,92,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,frac:0.5,frac,0.5,auroc,0.6223295759527645,0.6093531937734836,0.6363134057971014,30,-0.03554750402576487,-0.8662228847471113,-0.04935587761674715,-0.020490472356414383,0.0003879732068472332,0.0003879732068472332,True,True,False,140,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,frac:0.75,frac,0.75,auroc,0.6267579173376275,0.6122916666666669,0.6403918411164787,30,-0.031119162640901747,-1.047805201952766,-0.04134527643585614,-0.020437130971551233,6.316932110589872e-05,0.00012633864221179745,True,True,False,209,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,frac:1,frac,1.0,auroc,0.6578770799785292,0.6436104401502952,0.6712694578636605,30,,,,,,,False,False,False,279,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:1,k,,auroc,0.49717525496510995,0.4894113996242619,0.5053140096618357,30,-0.1607018250134192,-3.827928331355674,-0.17440988996242615,-0.1451479468599034,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,1,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
arrhythmia,l1_logistic,gb,none,k:128,k,,auroc,0.6160359634997316,0.6026164117015568,0.6304619565217391,30,-0.04184111647879763,-1.0919242734207222,-0.05468364197530863,-0.027911634460547497,5.542173428561142e-05,0.00011084346857122283,True,True,False,128,279,aa4b87ddd7e9344f1e6a2d2fd790dca11aac9977072c5be628da516f5562fa90
