# STATUS: validated  (REPS=30)
# calibration_sha256: 010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
# calib_sha256: 010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
arrhythmia,l1_logistic,gb,none,frac:0.25,frac,0.25,accuracy,0.6595555555555557,0.6477777777777778,0.6708888888888889,30,-0.038666666666666655,-1.098263173388674,-0.05088888888888888,-0.026444444444444437,3.375341784043647e-05,6.750683568087294e-05,True,True,False,70,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,frac:0.33,frac,0.33,accuracy,0.6568888888888889,0.6475555555555557,0.666222222222222,30,-0.041333333333333326,-1.2648429879459913,-0.052450000000000004,-0.029555555555555554,1.2298221782688951e-05,4.409208408488107e-05,True,True,False,92,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,frac:0.5,frac,0.5,accuracy,0.6624444444444444,0.6528888888888891,0.672,30,-0.03577777777777777,-1.2518537550051967,-0.045555555555555544,-0.025777777777777764,1.1023021021220268e-05,4.409208408488107e-05,True,True,False,140,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,frac:0.75,frac,0.75,accuracy,0.6657777777777777,0.6548833333333333,0.6766666666666666,30,-0.03244444444444443,-0.8867627305164797,-0.044888888888888874,-0.019333333333333327,0.00019384017887350417,0.00019384017887350417,True,True,False,209,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,frac:1,frac,1.0,accuracy,0.6982222222222222,0.6882222222222223,0.7080055555555556,30,,,,,,,False,False,False,279,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,k:1,k,,accuracy,0.546,0.5393277777777776,0.552888888888889,30,-0.1522222222222222,-4.538067846622877,-0.1642222222222222,-0.14022222222222222,1.6890670049981201e-06,1.520160304498308e-05,True,True,False,1,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,k:128,k,,accuracy,0.6617777777777776,0.650888888888889,0.6726722222222222,30,-0.03644444444444443,-0.9494114743591427,-0.04911111111111111,-0.022222222222222233,0.0001334143882013631,0.0002668287764027262,True,True,False,128,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,k:16,k,,accuracy,0.643111111111111,0.6315555555555555,0.654,30,-0.05511111111111112,-1.4339068662870134,-0.06888888888888887,-0.042,3.140027415142141e-06,1.5700137075710705e-05,True,True,False,16,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,k:2,k,,accuracy,0.5540000000000002,0.5444444444444444,0.5631166666666667,30,-0.1442222222222222,-4.682618863164867,-0.15488888888888888,-0.13355555555555554,1.6954815515692352e-06,1.520160304498308e-05,True,True,False,2,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,k:256,k,,accuracy,0.6953333333333335,0.6871111111111111,0.7037777777777781,30,-0.0028888888888888666,-0.10614089555282423,-0.012444444444444428,0.006666666666666695,0.7930005646753148,0.7930005646753148,False,False,False,256,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,k:32,k,,accuracy,0.6573333333333333,0.6451111111111113,0.6684444444444444,30,-0.04088888888888888,-1.1696052195569626,-0.05288888888888888,-0.028888888888888884,1.651929239422432e-05,4.955787718267296e-05,True,True,False,32,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,k:4,k,,accuracy,0.5737777777777778,0.5611111111111112,0.586,30,-0.12444444444444444,-2.9010455268732516,-0.13978333333333334,-0.10955555555555554,1.7019164327509632e-06,1.520160304498308e-05,True,True,False,4,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
arrhythmia,l1_logistic,gb,none,k:64,k,,accuracy,0.6575555555555556,0.6457777777777777,0.6682222222222223,30,-0.04066666666666664,-1.2937489158155369,-0.05133333333333333,-0.029333333333333333,8.750982777291779e-06,3.5003931109167114e-05,True,True,False,64,279,010091f799c130c0a067ab482bbdca1153e25a4f73dc5d374089b7a82572ad6d
