# STATUS: validated  (REPS=30)
# calibration_sha256: 129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
# calib_sha256: 129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
arrhythmia,l1_logistic,gb,none,frac:0.25,frac,0.25,accuracy,0.7020000000000001,0.6945333333333334,0.7090666666666667,30,-0.042933333333333344,-1.5437616971349744,-0.05266666666666668,-0.03306666666666668,5.867178082711884e-06,1.8899074206387586e-05,True,True,False,70,279,129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
arrhythmia,l1_logistic,gb,none,frac:0.33,frac,0.33,accuracy,0.7104000000000001,0.7024,0.7182666666666668,30,-0.034533333333333346,-1.1805279566603022,-0.044933333333333346,-0.02466666666666668,4.7247685515968965e-06,1.8899074206387586e-05,True,True,False,92,279,129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
arrhythmia,l1_logistic,gb,none,frac:0.5,frac,0.5,accuracy,0.7166666666666666,0.7089333333333333,0.72427,30,-0.02826666666666668,-0.9852548920516936,-0.03827000000000002,-0.018400000000000007,9.00398455586602e-05,0.0001800796911173204,True,True,False,140,279,129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
arrhythmia,l1_logistic,gb,none,frac:0.75,frac,0.75,accuracy,0.7249333333333333,0.7182666666666667,0.7314666666666667,30,-0.020000000000000018,-0.8557588634207842,-0.028266666666666693,-0.011733333333333344,0.0003992630664703491,0.0003992630664703491,True,True,False,209,279,129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
arrhythmia,l1_logistic,gb,none,frac:1,frac,1.0,accuracy,0.7449333333333333,0.7373299999999998,0.7524,30,,,,,,,False,False,False,279,279,129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
arrhythmia,l1_logistic,gb,none,k:1,k,,accuracy,0.5665333333333333,0.5597333333333334,0.5736000000000001,30,-0.17839999999999995,-5.736118658702267,-0.1892,-0.16746666666666668,1.7235135468062213e-06,1.535595907931689e-05,True,True,False,1,279,129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
arrhythmia,l1_logistic,gb,none,k:128,k,,accuracy,0.7150666666666667,0.7074666666666668,0.7225333333333335,30,-0.029866666666666684,-1.069505388454443,-0.04000000000000002,-0.020533333333333344,2.3365128530533592e-05,4.6730257061067184e-05,True,True,False,128,279,129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
arrhythmia,l1_logistic,gb,none,k:16,k,,accuracy,0.6796000000000001,0.6691999999999998,0.6890666666666667,30,-0.06533333333333334,-1.7457055149990333,-0.07866666666666668,-0.05199666666666672,3.1463715038471093e-06,1.535595907931689e-05,True,True,False,16,279,129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
arrhythmia,l1_logistic,gb,none,k:2,k,,accuracy,0.5939999999999999,0.5855966666666664,0.6025333333333333,30,-0.1509333333333333,-4.272584600868543,-0.16319999999999998,-0.1388,1.7191759138770554e-06,1.535595907931689e-05,True,True,False,2,279,129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
arrhythmia,l1_logistic,gb,none,k:256,k,,accuracy,0.7429333333333333,0.7347999999999998,0.7503999999999997,30,-0.0020000000000000018,-0.11768216791703938,-0.007866666666666673,0.004133333333333337,0.5324022525353715,0.5324022525353715,False,False,False,256,279,129316fe2217a89eed91ec028d0bd18536910f999b82edc8d6654755b2bea9b7
