n,n_over_p,classifier,auroc_delta_k1,auroc_delta_k8,auroc_delta_karm_mean,aurc_delta_karm_mean
100,0.358,gb,-0.1477,-0.0977,-0.0755,0.0777
100,0.358,logistic,-0.1872,-0.0685,-0.0718,0.0458
100,0.358,rf,-0.2855,-0.1205,-0.1046,0.1054
150,0.538,gb,-0.1883,-0.0645,-0.0657,0.0653
150,0.538,logistic,-0.2186,-0.0577,-0.0695,0.0629
150,0.538,rf,-0.2878,-0.077,-0.0921,0.0897
250,0.896,gb,-0.256,-0.1073,-0.1002,0.1002
250,0.896,logistic,-0.1839,-0.0218,-0.0354,0.0323
250,0.896,rf,-0.2974,-0.0926,-0.0995,0.1002
452,1.62,gb,-0.2959,-0.114,-0.1065,0.0955
452,1.62,logistic,-0.2273,-0.0411,-0.0558,0.0596
452,1.62,rf,-0.3094,-0.0924,-0.099,0.0948
