dataset,block,n,p,n_over_p,prevalence,retained_k_aggr,harm_auroc,harm_aurc
cleveland,clinical,303,12,25.25,0.45874587458745875,3.0,0.04430999915514736,0.05453402096173686
pima,clinical,768,8,96.0,0.3489583333333333,2.0,0.0406435323383084,0.02906927945405306
ilpd,clinical,583,9,64.77777777777777,0.7135506003430532,2.0,0.053239861089786206,0.03715988380608525
heartfailure,clinical,299,11,27.181818181818183,0.3210702341137124,3.0,0.004109176397251123,0.008058609309077302
wdbc,clinical,569,30,18.966666666666665,0.37258347978910367,8.0,0.0051064171300945,0.002897709968221467
statlogheart,clinical,270,12,22.5,0.4444444444444444,3.0,0.05386851851851848,0.06823432472125913
haberman,clinical,306,3,102.0,0.2647058823529412,1.0,0.08063648834019202,0.06020165704413475
hepatitis,clinical,155,18,8.61111111111111,0.2064516129032258,4.0,0.05494391749473046,0.019624425591688557
mammographic,clinical,961,5,192.2,0.4630593132154006,1.0,0.08701845561265466,0.0701596507031622
bcw,clinical,699,9,77.66666666666667,0.3447782546494993,2.0,0.01739941802680752,0.020973761833529135
spectf,clinical,267,44,6.068181818181818,0.7940074906367042,11.0,0.005213772949622,0.0018568023438422887
diabetes130,clinical,6000,16,375.0,0.11166666666666666,4.0,0.030653257498744615,0.008127303859541978
