dataset,block,ranker,p,gini,top1_share,top2_share,top4_share,top8_share,top16_share,top32_share,top64_share,top128_share,top256_share
prostate_ge,highdim,mutual_info,5966,0.5134471415076555,0.0017539541762681,0.0033183458488687,0.0061847446360772,0.0110953262114598,0.0200311239063635,0.035699056414799,0.0613529291047991,0.1052263508721004,0.1781758519899532
prostate_ge,highdim,rf_importance,5966,0.9076229426966748,0.0176788284772344,0.0343247365934698,0.0605956251809088,0.1033868719473793,0.1736198041976595,0.2698226015369866,0.3816011295931361,0.5159418822356283,0.6523887961066361
prostate_ge,highdim,l1_logistic,5966,0.9967859907285872,0.2293872244785154,0.3446424415679835,0.4983989536586287,0.659732902747264,0.7969882881362788,0.9243321513760184,0.9957698920377056,0.9999999999999996,0.9999999999999996
arcene,highdim,mutual_info,10000,0.4867218374124978,0.0005073288581581,0.0010053200448608,0.0019807684130933,0.0038860679252507,0.0076167063793268,0.0147593910762237,0.0280999643099482,0.0527251729617165,0.0972229574188915
arcene,highdim,rf_importance,10000,0.8337008410483895,0.0041985392693686,0.0081571174007149,0.0157681043194112,0.029407055215294,0.0526301936178144,0.0897290093828679,0.1428267535654903,0.2231432835230629,0.3371050340040186
arcene,highdim,l1_logistic,10000,0.982147417953875,0.0322554039812792,0.0514572430334716,0.0873247926899379,0.1504170707805147,0.2387932019694051,0.3630018762373674,0.5262474145415366,0.7331424879167905,0.9277663182635478
arrhythmia,highdim,mutual_info,279,0.4379842794915748,0.0143288885360515,0.0282496388189897,0.0547702191880223,0.0999538840820652,0.1818395593451139,0.3126815805088253,0.5099456256049787,0.7767893867079662,0.9962228503022724
arrhythmia,highdim,rf_importance,279,0.6160271826496099,0.0373499141037158,0.0607620474442764,0.10251682074923,0.1724817459925136,0.2844080221592555,0.4321355633127598,0.6382979493955396,0.9118314709252088,1.0
arrhythmia,highdim,l1_logistic,279,0.7394794824534014,0.0396631358420323,0.0753824434530381,0.1390688482367122,0.2371975669893888,0.3761521572613175,0.5664391935932638,0.8077141453831173,0.9780903071653132,1.0
cleveland,clinical,mutual_info,12,0.3571164143665741,0.1747869576897705,0.3209333727155724,0.5653288861088128,0.9131989817553936,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
cleveland,clinical,rf_importance,12,0.2883846915791322,0.1508063616551481,0.2796365970867614,0.5149790382781579,0.8757016616854122,1.0,1.0,1.0,1.0,1.0
cleveland,clinical,l1_logistic,12,0.4298331084859928,0.2309995675877632,0.422944829128543,0.641542130778641,0.9103219571591212,1.0,1.0,1.0,1.0,1.0
pima,clinical,mutual_info,8,0.4225766788468396,0.3341899620541402,0.5818148386367522,0.8025913203108306,1.0,1.0,1.0,1.0,1.0,1.0
pima,clinical,rf_importance,8,0.2312890204064603,0.2538752165455639,0.4136846986853121,0.6711992077275268,1.0,1.0,1.0,1.0,1.0,1.0
pima,clinical,l1_logistic,8,0.5388829874634137,0.4167256959242003,0.6445837511145226,0.8946730455493835,1.0,1.0,1.0,1.0,1.0,1.0
ilpd,clinical,mutual_info,9,0.3336598716078194,0.183467943012317,0.357266640792424,0.6829798506603189,1.0,1.0,1.0,1.0,1.0,1.0
ilpd,clinical,rf_importance,9,0.1319709697291339,0.1541918206168951,0.2896707096933084,0.5562619848481133,0.9222300725088936,1.0,1.0,1.0,1.0,1.0
ilpd,clinical,l1_logistic,9,0.4828610891919925,0.315280109501296,0.5872554646757746,0.784840909664678,0.9985365411791786,1.0,1.0,1.0,1.0,1.0
heartfailure,clinical,mutual_info,11,0.613792952475677,0.4184292183350085,0.5771454582688389,0.8573239936157302,0.9839256818176638,1.0,1.0,1.0,1.0,1.0
heartfailure,clinical,rf_importance,11,0.4932788728058903,0.3519160121705855,0.4884641922323824,0.7113500119809917,0.961643233822435,1.0,1.0,1.0,1.0,1.0
heartfailure,clinical,l1_logistic,11,0.6126156219261728,0.3836433559272046,0.5841166717260405,0.8587693971915076,0.9775205586405676,1.0,1.0,1.0,1.0,1.0
wdbc,clinical,mutual_info,30,0.4213759748708252,0.0740770641858486,0.1456797330040144,0.2848768092997164,0.53026648816032,0.8568550732804021,1.0,1.0,1.0,1.0
wdbc,clinical,rf_importance,30,0.6109797572256456,0.1428117986298911,0.2796627678041976,0.5235594861966274,0.7616086709445228,0.9250447913499944,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
wdbc,clinical,l1_logistic,30,0.7457138151250361,0.2194301424833903,0.3710500717056417,0.6091889476894596,0.8800723823015272,1.0,1.0,1.0,1.0,1.0
statlogheart,clinical,mutual_info,12,0.3812849435401242,0.1686266333877213,0.3221192704487194,0.582343378265191,0.9346005858217376,1.0,1.0,1.0,1.0,1.0
statlogheart,clinical,rf_importance,12,0.2935165459891074,0.1499959271036914,0.27562846647523,0.5164672677536856,0.8821038762644239,1.0,1.0,1.0,1.0,1.0
statlogheart,clinical,l1_logistic,12,0.41178230795913,0.2086298948509702,0.4036475206704373,0.6378623460795221,0.9152386513103264,1.0,1.0,1.0,1.0,1.0
haberman,clinical,mutual_info,3,0.4937377181614581,0.7661120961244104,0.9744944811177768,1.0,1.0,1.0,1.0,1.0,1.0,1.0
haberman,clinical,rf_importance,3,0.1154397932664971,0.4183532149481281,0.7548064749516177,1.0,1.0,1.0,1.0,1.0,1.0,1.0
haberman,clinical,l1_logistic,3,0.5128603515417863,0.7845590228184933,0.984731504494186,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hepatitis,clinical,mutual_info,18,0.3784614176197592,0.1211715509655813,0.2307383381191591,0.4284985814853508,0.7295940621083392,0.9907804979222128,1.0,1.0,1.0,1.0
hepatitis,clinical,rf_importance,18,0.4354389429748226,0.1671525607157164,0.3004984764353839,0.4996743102222946,0.7776714425719679,0.9845444901031682,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
hepatitis,clinical,l1_logistic,18,0.439556731613307,0.1509897193801926,0.2891163985685993,0.4922670439581345,0.7742342218719135,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
mammographic,clinical,mutual_info,5,0.3042665417333002,0.3287484417884821,0.5924227035412158,0.9924051614165812,1.0,1.0,1.0,1.0,1.0,1.0
mammographic,clinical,rf_importance,5,0.2816105002326025,0.3218666500608934,0.6117450074447275,0.9731445693714582,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996
