dataset,n,p,rho_indep,penalty_margin,penalty_d
hepatitis,155,18,0.7382107226797852,0.0178,0.0155
spectf,267,44,-0.6515579192953597,0.0004,-0.0017
statlogheart,270,12,0.45283359136093043,0.0717,0.028
heartfailure,299,11,0.31521762655878893,0.0092,0.0102
cleveland,303,12,0.46743751125707655,0.0621,0.0253
haberman,306,3,0.4713342553436189,0.0681,-0.0117
wdbc,569,30,0.166532508682298,0.0022,0.01
ilpd,583,9,-0.5273980172105518,0.0398,-0.0004
bcw,699,9,0.6811290362831021,0.0231,0.0077
pima,768,8,0.32400801143326113,0.0305,0.0261
mammographic,961,5,0.34595810954199396,0.0693,0.0285
diabetes130,101763,16,0.42388448441282744,0.0071,0.0022
