dataset,dose,p_full,k_aggr,auroc_penalty_mean,auroc_penalty_sd,ci_lo,ci_hi,n
cleveland,0,12,3,0.0539,0.028,0.0499,0.0579,180
cleveland,1,24,3,0.0434,0.027,0.0396,0.0474,180
cleveland,2,36,3,0.0441,0.0252,0.0406,0.0478,180
cleveland,5,72,3,0.0231,0.0433,0.0168,0.0295,180
cleveland,10,132,3,0.0057,0.0521,-0.0016,0.0135,180
mammographic,0,5,1,0.0862,0.029,0.0821,0.0906,180
mammographic,1,10,1,0.084,0.0054,0.0832,0.0848,180
mammographic,2,15,1,0.0857,0.0077,0.0846,0.0868,180
mammographic,5,30,1,0.0844,0.0075,0.0833,0.0855,180
mammographic,10,55,1,0.0811,0.0128,0.0793,0.083,180
spectf,0,44,11,0.0038,0.0217,0.0007,0.007,180
spectf,1,88,11,-0.0161,0.0409,-0.022,-0.0101,180
spectf,2,132,11,-0.0345,0.0502,-0.0416,-0.027,180
spectf,5,264,11,-0.0291,0.0553,-0.0371,-0.0213,180
spectf,10,484,11,-0.037,0.0336,-0.0419,-0.0323,180
