dataset,budget,kstar,aurc_penalty,pred_unsafe,obs_spike
prostate_ge,1,5966,0.0278,True,True
prostate_ge,2,5966,0.0077,True,False
prostate_ge,4,5966,-0.0015,True,False
prostate_ge,8,5966,-0.0069,True,False
prostate_ge,16,5966,-0.0063,True,False
prostate_ge,32,5966,-0.0064,True,False
prostate_ge,64,5966,-0.0061,True,False
prostate_ge,128,5966,-0.004,True,False
prostate_ge,256,5966,-0.0032,True,False
arcene,1,10000,0.282,True,True
arcene,2,10000,0.2405,True,True
arcene,4,10000,0.1912,True,True
arcene,8,10000,0.1379,True,True
arcene,16,10000,0.0888,True,True
arcene,32,10000,0.0525,True,True
arcene,64,10000,0.0309,True,True
arcene,128,10000,0.0171,True,False
arcene,256,10000,0.0072,True,False
arrhythmia,1,128,0.255,True,True
arrhythmia,2,128,0.2015,True,True
arrhythmia,4,128,0.1405,True,True
arrhythmia,8,128,0.0819,True,True
arrhythmia,16,128,0.0435,True,True
arrhythmia,32,128,0.0219,True,True
arrhythmia,64,128,0.0068,True,False
arrhythmia,128,128,-0.0006,False,False
arrhythmia,256,128,-0.001,False,False
cleveland,1,16,0.178,True,True
cleveland,2,16,0.0843,True,True
cleveland,4,16,0.0333,True,True
cleveland,8,16,0.0056,True,False
pima,1,8,0.0586,True,True
pima,2,8,0.0291,True,True
pima,4,8,0.0082,True,False
ilpd,1,8,0.0606,True,True
ilpd,2,8,0.0372,True,True
ilpd,4,8,0.0123,True,False
ilpd,8,8,-0.0009,False,False
heartfailure,1,8,0.0514,True,True
heartfailure,2,8,0.0314,True,True
heartfailure,4,8,0.0049,True,False
heartfailure,8,8,-0.0002,False,False
wdbc,1,16,0.0298,True,True
wdbc,2,16,0.0179,True,False
wdbc,4,16,0.0069,True,False
wdbc,8,16,0.0029,True,False
statlogheart,1,16,0.1911,True,True
statlogheart,2,16,0.0958,True,True
statlogheart,4,16,0.0398,True,True
statlogheart,8,16,0.0071,True,False
haberman,1,4,0.0602,True,True
haberman,2,4,0.0168,True,False
hepatitis,1,16,0.0478,True,True
hepatitis,2,16,0.0308,True,True
hepatitis,4,16,0.0196,True,False
hepatitis,8,16,0.0078,True,False
mammographic,1,4,0.0702,True,True
mammographic,2,4,0.029,True,True
mammographic,4,4,0.0003,False,False
bcw,1,8,0.031,True,True
bcw,2,8,0.021,True,True
bcw,4,8,0.0031,True,False
bcw,8,8,-0.0001,False,False
spectf,1,64,0.0353,True,True
spectf,2,64,0.0262,True,True
spectf,4,64,0.014,True,False
spectf,8,64,0.0044,True,False
gli85,1,22283,0.1383,True,True
gli85,2,22283,0.0868,True,True
gli85,4,22283,0.0494,True,True
gli85,8,22283,0.0254,True,True
gli85,16,22283,0.0107,True,False
gli85,32,22283,0.0027,True,False
gli85,64,22283,-0.0007,True,False
gli85,128,22283,-0.0014,True,False
gli85,256,22283,-0.0021,True,False
diabetes130,1,16,0.0269,True,True
diabetes130,2,16,0.014,True,False
diabetes130,4,16,0.0081,True,False
diabetes130,8,16,0.0032,True,False
