budget_k,dataset,p,harm_auroc
1,bcw,9,0.0358
1,cleveland,12,0.161
1,diabetes130,16,0.0965
1,haberman,3,0.0806
1,heartfailure,11,0.0537
1,hepatitis,18,0.1421
1,ilpd,9,0.0987
1,mammographic,5,0.087
1,pima,8,0.0718
1,spectf,44,0.0995
1,statlogheart,12,0.1692
1,wdbc,30,0.038
2,bcw,9,0.0174
2,cleveland,12,0.0722
2,diabetes130,16,0.0486
2,haberman,3,0.0151
2,heartfailure,11,0.0287
2,hepatitis,18,0.0906
2,ilpd,9,0.0532
2,mammographic,5,0.0183
2,pima,8,0.0406
2,spectf,44,0.0672
2,statlogheart,12,0.0819
2,wdbc,30,0.0251
4,bcw,9,0.0019
4,cleveland,12,0.0278
4,diabetes130,16,0.0307
4,heartfailure,11,0.0019
4,hepatitis,18,0.0549
4,ilpd,9,0.0172
4,mammographic,5,-0.0001
4,pima,8,0.0111
4,spectf,44,0.0367
4,statlogheart,12,0.0336
4,wdbc,30,0.0103
8,bcw,9,-0.0001
8,cleveland,12,0.0054
8,diabetes130,16,0.0095
8,heartfailure,11,-0.001
8,hepatitis,18,0.0199
8,ilpd,9,-0.0015
8,spectf,44,0.0124
8,statlogheart,12,0.0081
8,wdbc,30,0.0051
