dataset,method,classifier,rep,aurc_A_full,aurc_B_full,aurc_C_full,selnb_A_full,selnb_C_full,aurc_A_aggr,aurc_B_aggr,aurc_C_aggr,selnb_A_aggr,selnb_C_aggr
diabetes130,mutual_info,logistic,0,0.07388969437029907,0.09045747056947519,0.0776541797153388,0.003976402543681157,0.004617947634062256,0.07704558280157561,0.09045480132902337,0.08014448071026793,0.0037633299082898346,0.004539989858219406
diabetes130,mutual_info,logistic,1,0.07378353934184066,0.09043484707419387,0.07765252938500541,0.003958124670518075,0.004632011302077764,0.07751582528886695,0.09043983611199334,0.08039335747220105,0.0038051824921640784,0.004457299143187741
diabetes130,mutual_info,logistic,2,0.07375083254570515,0.09057986640618246,0.07767616810360099,0.0039965065254701365,0.004686649793146699,0.0778487490657362,0.09058438741214553,0.08054187124656115,0.0037197885618600953,0.004510544641593892
diabetes130,mutual_info,logistic,3,0.07371332680416567,0.09057043010181128,0.07774679946890166,0.004022222807229068,0.004626529941063905,0.07683769093135663,0.0905744816760784,0.07996392979070285,0.0037908718815370863,0.004435684371944158
diabetes130,mutual_info,logistic,4,0.07396604231837514,0.09064396757372262,0.07777997009258708,0.004007319604288973,0.004624390254570679,0.07786572677670664,0.09064650449961704,0.08067773949190103,0.0037463837183354352,0.004422140303857983
diabetes130,mutual_info,logistic,5,0.07365738953072493,0.09047162370815776,0.07770284794828507,0.0040409563791514,0.0046078668417018215,0.07769215711547342,0.09047506239908638,0.08050465857452907,0.003803101105816941,0.004459826598934139
diabetes130,mutual_info,logistic,6,0.07377304744364134,0.09052020185990353,0.07771913056167062,0.004000926041800802,0.004636237143319369,0.07816241695240415,0.0905221811576419,0.08088021517753508,0.0037166120478637848,0.004446962716940715
diabetes130,mutual_info,logistic,7,0.07368227203960323,0.09054311499512989,0.07770964460120253,0.003984905627713219,0.004681810779979356,0.07747968209052367,0.09054638795083973,0.08055840324687062,0.0037714319105046027,0.004497670233212377
diabetes130,mutual_info,logistic,8,0.07386444063788836,0.09058782325830424,0.07781955602760843,0.004025202979020642,0.004658372982991486,0.0780963704629063,0.09059446963443861,0.08095712859768545,0.003689248074189545,0.004482185780087144
diabetes130,mutual_info,logistic,9,0.07379219946206814,0.09042673529178508,0.0776958424247908,0.003999748785741405,0.004621035192648959,0.07758426243530425,0.09042549533426215,0.08046346576954896,0.0037847888559936612,0.004517923434383935
diabetes130,mutual_info,logistic,10,0.07371777697156495,0.09055883291468572,0.07771935632552146,0.003975469994663456,0.004601532613641579,0.07705495494791748,0.09056091946330633,0.0803660800589741,0.003838007735875978,0.004526770026906739
diabetes130,mutual_info,logistic,11,0.07388581663891451,0.09051712410602561,0.07772568468455437,0.003972074827591523,0.004656612975520631,0.07766886813475557,0.09052299689593846,0.08029831541365645,0.003744666899754081,0.004495174778849229
diabetes130,mutual_info,logistic,12,0.0739463194733187,0.09059336296317969,0.07780200803841855,0.004019014537903633,0.004618872766263537,0.07754416147012193,0.09059563071937803,0.08058746377384608,0.003777938914857124,0.004460526506293569
diabetes130,mutual_info,logistic,13,0.07400563135676608,0.09064562442472066,0.07783325521994859,0.004007134299877637,0.0046101039005776055,0.07784078376004663,0.0906473379835884,0.08047423070099281,0.0037511216979490567,0.0044917198534039846
diabetes130,mutual_info,logistic,14,0.07375614106426312,0.09042513870638215,0.07768068524097198,0.00401249958420264,0.004621710762318951,0.07693978427248982,0.0904290585655826,0.08021152630314565,0.003753253407401016,0.004489745307251199
diabetes130,mutual_info,logistic,15,0.07378527935107584,0.09049997867471571,0.07769856584770704,0.003997637764630553,0.004572315177566138,0.07762720876893126,0.09050616326756483,0.08065287359034365,0.003802548802073751,0.004489149685938126
diabetes130,mutual_info,logistic,16,0.07377239060839386,0.09045863438326324,0.0776248281301217,0.003979771739913669,0.004632029646986065,0.07676151203774745,0.09045817736767187,0.0801017936530102,0.00374557495448906,0.004467831258058739
diabetes130,mutual_info,logistic,17,0.07374402052147787,0.09058055588363914,0.07767605947935047,0.003974391758328167,0.0045936448055181765,0.07738324560177061,0.09058331178539539,0.08036851040678118,0.0036610503230674754,0.004399371189596771
diabetes130,mutual_info,logistic,18,0.07382122543964642,0.0905549398804476,0.07775906972026336,0.0039594319762225,0.004605639651218616,0.07738843085047913,0.09055442761465707,0.08022568494096766,0.0037397102232729126,0.0044419557697766105
diabetes130,mutual_info,logistic,19,0.07371164173328539,0.09065798940108957,0.07783086092918697,0.003986229197047287,0.004668095181806304,0.07776812660472958,0.09066006296146094,0.08052405276727888,0.0037805078451050773,0.004479047091323322
diabetes130,mutual_info,logistic,20,0.07393754160574324,0.0905793050226928,0.07784288654868844,0.00394107126333686,0.004606320737028341,0.07897099439768655,0.09058448136864199,0.08121721973253188,0.0037531421259382395,0.004437655145929452
diabetes130,mutual_info,logistic,21,0.0739507881358027,0.09053734864346066,0.0777613905504635,0.0039624069659697555,0.004663391493051895,0.08061707157298217,0.09053673706907504,0.08132401782828044,0.004076713104219942,0.0045825838422712695
diabetes130,mutual_info,logistic,22,0.07388763234246634,0.0906399389737636,0.07781417514878723,0.003985377902829931,0.004606897270513352,0.07748647283706397,0.09063925434867448,0.08056040524446689,0.0037496508294091713,0.004479268004315617
diabetes130,mutual_info,logistic,23,0.07378377305619616,0.09057688163670842,0.07765045447694907,0.003959276254370002,0.004605555655033682,0.07778331043522232,0.09057920483514456,0.08051118301622329,0.003802751383513331,0.004488901229402673
diabetes130,mutual_info,logistic,24,0.07380880550539926,0.09046437768436139,0.07761840924954481,0.004012819332048697,0.004678931680637845,0.07758474125017781,0.09046826920045181,0.08067818062247832,0.0037829165468881367,0.004523912286643623
diabetes130,mutual_info,logistic,25,0.07386521225425088,0.09080772432099425,0.07796547140300397,0.004025186840582416,0.004640165456531173,0.07764294962437775,0.09081044325036211,0.08075634411621486,0.003805390416218366,0.004466561598194329
diabetes130,mutual_info,logistic,26,0.07374954783950903,0.09060315807430505,0.07768313659713293,0.003967446905495409,0.004662912407393052,0.07767308374316756,0.09060555510160319,0.0803803351322869,0.003726710722063364,0.004475296697344244
diabetes130,mutual_info,logistic,27,0.0738645414277467,0.09060447807208319,0.07779561293081623,0.003994986186653645,0.004631272628757781,0.07842223576930298,0.0906084679900786,0.0809180607739556,0.0037063947289738743,0.004378939545779203
diabetes130,mutual_info,logistic,28,0.0738564437464902,0.0906819157219833,0.07771071816114722,0.003973439296353839,0.004691211420194258,0.0773463255130094,0.0906851852540759,0.08056314388104374,0.0037581583010465685,0.004478503106460108
diabetes130,mutual_info,logistic,29,0.07366631178021793,0.09057650364306602,0.07767171418606367,0.003996554033523124,0.0046420961991493655,0.0772165922776673,0.090583007027318,0.08020218349761496,0.00376785775965567,0.004510502072677231
diabetes130,mutual_info,rf,0,0.07786855214768024,0.09370346412724075,0.08209376637695093,0.0035859964320897404,0.0016275246292323194,0.07053262010218533,0.0906171709023797,0.07636346664489678,0.0038652473931928928,0.0048144833228092754
diabetes130,mutual_info,rf,1,0.07739238296644317,0.09380628589456438,0.08171428601426707,0.003544349716313117,0.0016424405593765139,0.07075452353532498,0.09059832268688174,0.0762539857423972,0.0038810615225818752,0.004786593957494556
diabetes130,mutual_info,rf,2,0.07822975185225245,0.0936382348557902,0.08188600298071361,0.0034134687421393563,0.00163532162720716,0.07216187402223345,0.09067312916657891,0.07717240946173012,0.00386691047117221,0.004716744205875371
diabetes130,mutual_info,rf,3,0.07848318112754366,0.09342333049123505,0.08233985886956227,0.0033618912229998474,0.0015139758028363285,0.07147899840594212,0.09076513096902962,0.07635447715071211,0.0036538374955856086,0.004739164214083139
diabetes130,mutual_info,rf,4,0.07855612475752677,0.0940825385111686,0.08270758583651487,0.0032808132906775216,0.001238402314826682,0.0717028954350186,0.09050644970506379,0.07678317684817379,0.003809112816101014,0.004739175383883958
diabetes130,mutual_info,rf,5,0.07852228181639449,0.09356385867372657,0.08217065731277345,0.0033207333781344584,0.0015195125494196,0.0704348977315485,0.0904530836686114,0.07633379573674208,0.0038330197345748554,0.004851152261265458
diabetes130,mutual_info,rf,6,0.0785787493241411,0.09376931415196793,0.08226771741326419,0.003276075222699448,0.0014086073246010944,0.07090789243864533,0.09071363402286603,0.0761387180020669,0.0037020719846605015,0.004781354030894292
diabetes130,mutual_info,rf,7,0.07789150545647042,0.09407917569224675,0.08228715322026858,0.003457799934911289,0.001449892533077072,0.07103530362534871,0.09061651493588575,0.07645543121183102,0.0037739940601916036,0.004802732573751273
diabetes130,mutual_info,rf,8,0.07851324713778932,0.09386234581320899,0.08259103264511768,0.0033500663239146716,0.0014329708171575445,0.07045976604277063,0.09061785758868107,0.07637684687380286,0.0037331171974861474,0.004838629847466812
diabetes130,mutual_info,rf,9,0.07913470308746443,0.09354556948077494,0.08276616314431208,0.00331937302116451,0.0013633289991384352,0.07151789985055451,0.09056970672342304,0.07607047959939779,0.0038006819763745413,0.0047172862526895214
diabetes130,mutual_info,rf,10,0.0783601716981089,0.0937514847403926,0.082070753545579,0.0032497694284681134,0.001648786739908932,0.0705461057417149,0.09062726955825232,0.07631495222546493,0.0038266541264328296,0.0048973911757036566
diabetes130,mutual_info,rf,11,0.0773158314959941,0.09386374486736299,0.08143517363033162,0.0034721446076675165,0.001697449531493796,0.07210501744696338,0.0906936908640105,0.07704289859447361,0.003683404382652777,0.004720821366556161
diabetes130,mutual_info,rf,12,0.07843733147073104,0.09434755560615964,0.08263006721616953,0.003252335454979788,0.00118038716638922,0.07059720568687616,0.09064897344480417,0.0763821941696067,0.003825998285711583,0.004767878058970579
diabetes130,mutual_info,rf,13,0.07873986237161114,0.09391213283859136,0.08278292746499019,0.0033958208089134943,0.001383917684211688,0.07205630370132654,0.09060237116630936,0.07644433029037132,0.0038048931705678495,0.004705719306240436
diabetes130,mutual_info,rf,14,0.07897134357952487,0.09350090398592309,0.08252550656217768,0.0032164457231443266,0.0012902326776146962,0.07219395280555821,0.09063242794591388,0.0766178104868577,0.003756824277588585,0.004759152489348807
diabetes130,mutual_info,rf,15,0.07851462677649493,0.0933279513551318,0.08211952512958863,0.0033663659189323365,0.001658718550644408,0.0710821193567211,0.09061223900647379,0.07598958396993462,0.0038557030629053027,0.004746475022575671
diabetes130,mutual_info,rf,16,0.07853274850142947,0.09381139269706232,0.08232095615055401,0.00338085625256898,0.0013057985909403714,0.07318887950249645,0.09057297547159653,0.07743675370749126,0.003798536594927958,0.004680019931178214
diabetes130,mutual_info,rf,17,0.07835106197783887,0.09355786553269871,0.08206821680723758,0.003419372812415434,0.001538905306179815,0.07050280580106125,0.0906560837605696,0.07635487399623561,0.0038455343879283594,0.004904525853303636
diabetes130,mutual_info,rf,18,0.07808869224178655,0.09365489772597407,0.082031533297123,0.003369771385632537,0.0015342665913432086,0.07226653046274475,0.09053652349726568,0.07723750437243357,0.0037764177989289965,0.004535104803763436
