dataset,penalty_A,penalty_B,penalty_C,mitigation_pct_CvsA
bcw,0.02315,0.00766,0.00717,69.0
cleveland,0.06214,0.02526,0.03294,47.0
diabetes130,0.00705,0.00217,0.00287,59.4
haberman,0.06811,-0.01172,0.01774,73.9
heartfailure,0.00923,0.01017,0.00641,30.6
hepatitis,0.01778,0.01547,0.01633,8.2
ilpd,0.03977,-0.00038,0.03585,9.8
mammographic,0.06928,0.02854,0.03189,54.0
pima,0.03048,0.0261,0.02428,20.3
spectf,0.00043,-0.00172,-0.00482,1229.0
statlogheart,0.07173,0.02802,0.03469,51.6
wdbc,0.00221,0.01001,0.00215,3.0
