example,dataset,threshold,preregistered,n_patients,n_flip_majority,pct_flip_majority,newly_recommended,withdrawn,direction_tied,pos_newly_recommended,pos_withdrawn,neg_newly_recommended,neg_withdrawn,pos_withdrawn_meanp,pos_newly_recommended_meanp,treated_frac_full,treated_frac_reduced,delta_net_benefit,delta_net_benefit_from_counts
worked_example,mammographic,0.1,True,961,203,21.12,188,15,0,11,4,177,11,4,11,0.7611,0.9439,-0.01141,-0.01191
worked_example,mammographic,0.05,False,961,92,9.57,75,17,0,3,4,72,13,2,3,0.8854,0.951,-0.00436,-0.00427
worked_example,mammographic,0.15,False,961,266,27.68,256,10,0,16,3,240,7,3,16,0.6844,0.9394,-0.02811,-0.02926
worked_example,mammographic,0.2,False,961,316,32.88,309,7,0,25,2,284,5,2,23,0.6299,0.9394,-0.04873,-0.04865
worked_example,mammographic,0.3,False,961,207,21.54,5,202,0,3,93,2,109,63,3,0.5773,0.4857,-0.06229,-0.04593
worked_example,mammographic,0.4,False,961,175,18.21,11,164,0,9,87,2,77,86,9,0.5275,0.3749,-0.02838,-0.02914
worked_example,mammographic,0.5,False,961,137,14.26,18,119,0,15,66,3,53,66,14,0.4764,0.3749,-0.0086,-0.00104
worked_example,mammographic,0.6,False,961,107,11.13,31,76,0,23,48,8,28,47,22,0.4172,0.3722,0.0051,0.0052
secondary_example,diabetes130,0.1,True,101763,14324,14.08,3560,10763,1,299,1233,3261,9530,1132,282,0.456,0.3962,-0.00223,-0.00233
secondary_example,diabetes130,0.05,False,101763,95,0.09,95,0,0,5,0,90,0,0,5,0.999,1.0,-0.0,0.0
secondary_example,diabetes130,0.15,False,101763,4559,4.48,1388,3171,0,190,544,1198,2627,501,166,0.1314,0.1153,-0.00082,-0.001
secondary_example,diabetes130,0.2,False,101763,1424,1.4,422,1002,0,95,192,327,810,188,91,0.0526,0.0467,0.00017,0.00023
secondary_example,diabetes130,0.3,False,101763,369,0.36,150,219,0,41,76,109,143,72,36,0.0155,0.0148,-0.00019,-0.0002
secondary_example,diabetes130,0.4,False,101763,179,0.18,107,72,0,39,23,68,49,22,35,0.0067,0.007,0.0,3e-05
secondary_example,diabetes130,0.5,False,101763,69,0.07,33,36,0,11,13,22,23,13,8,0.0035,0.0034,6e-05,-1e-05
secondary_example,diabetes130,0.6,False,101763,44,0.04,29,15,0,14,4,15,11,4,13,0.0018,0.0019,7e-05,4e-05
