frac,outcome,n_cells,median_worse_oriented,q25,q75,n_material_worse,magnitude_ref,n_worse_beyond_magnitude,n_material_worse_beyond_magnitude
0.75,aurc,108,0.00033,-0.00034,0.0033,54,0.01,7,7
0.75,ece,108,-0.00028,-0.0017,0.0022,15,0.01,5,5
0.75,brier,108,1e-05,-0.00076,0.00175,42,0.01,3,3
0.75,conformal_efficiency,108,0.00026,-0.00146,0.00741,31,0.05,3,3
0.75,selective_ece,108,-0.00017,-0.00216,0.00283,20,0.01,6,6
0.75,auroc,108,0.0008,-0.00048,0.00435,50,0.01,9,9
0.75,net_benefit,108,0.00013,-0.0009,0.00173,40,0.005,10,10
0.5,aurc,108,0.00583,0.00096,0.01488,81,0.01,39,39
0.5,ece,108,-0.00021,-0.00371,0.00789,31,0.01,25,25
0.5,brier,108,0.00203,-4e-05,0.00716,62,0.01,17,17
0.5,conformal_efficiency,108,0.00976,0.00034,0.03204,65,0.05,13,13
0.5,selective_ece,108,0.00011,-0.006,0.00527,39,0.01,23,23
0.5,auroc,108,0.00521,0.00144,0.01921,78,0.01,44,44
0.5,net_benefit,108,0.00203,-0.00036,0.00717,64,0.005,36,36
0.33,aurc,108,0.01561,0.00299,0.0294,90,0.01,61,61
0.33,ece,108,-0.00037,-0.00818,0.00826,34,0.01,26,26
0.33,brier,108,0.00462,0.00012,0.01453,75,0.01,33,33
0.33,conformal_efficiency,108,0.01514,0.00158,0.05165,73,0.05,30,30
0.33,selective_ece,108,0.00013,-0.00948,0.00929,43,0.01,27,27
0.33,auroc,108,0.01324,0.00394,0.03396,84,0.01,59,59
0.33,net_benefit,108,0.00498,0.00037,0.01254,72,0.005,54,54
0.25,aurc,108,0.02307,0.0065,0.0514,94,0.01,69,69
0.25,ece,108,-0.00065,-0.01945,0.01229,40,0.01,31,31
0.25,brier,108,0.00774,0.00014,0.02213,78,0.01,49,49
0.25,conformal_efficiency,108,0.04379,0.00808,0.11131,79,0.05,49,49
0.25,selective_ece,108,0.00021,-0.01693,0.01502,44,0.01,34,34
0.25,auroc,108,0.02455,0.00848,0.06257,91,0.01,78,78
0.25,net_benefit,108,0.00919,0.00077,0.02116,80,0.005,65,64
