dataset,prevalence,budget_type,budget,n_cells,mean_net_benefit_model,mean_net_benefit_treat_all,model_minus_treat_all,beats_treat_all,range_contains_prevalence
bcw,0.3448,frac,frac:0.25,9,0.3118,0.0618,0.25,True,True
bcw,0.3448,frac,frac:0.33,9,0.3187,0.0618,0.2569,True,True
bcw,0.3448,frac,frac:0.5,9,0.3212,0.0618,0.2594,True,True
bcw,0.3448,frac,frac:0.75,9,0.3254,0.0618,0.2636,True,True
bcw,0.3448,frac,frac:1,9,0.3255,0.0618,0.2637,True,True
bcw,0.3448,k,k:1,9,0.2915,0.0618,0.2297,True,True
bcw,0.3448,k,k:2,9,0.3118,0.0618,0.25,True,True
bcw,0.3448,k,k:4,9,0.3212,0.0618,0.2594,True,True
bcw,0.3448,k,k:8,9,0.3257,0.0618,0.2639,True,True
cleveland,0.4587,frac,frac:0.25,9,0.3191,0.225,0.0941,True,True
cleveland,0.4587,frac,frac:0.33,9,0.3249,0.225,0.0999,True,True
cleveland,0.4587,frac,frac:0.5,9,0.3325,0.225,0.1075,True,True
cleveland,0.4587,frac,frac:0.75,9,0.3338,0.225,0.1089,True,True
cleveland,0.4587,frac,frac:1,9,0.3361,0.225,0.1111,True,True
cleveland,0.4587,k,k:1,9,0.2862,0.225,0.0613,True,True
cleveland,0.4587,k,k:2,9,0.3105,0.225,0.0855,True,True
cleveland,0.4587,k,k:4,9,0.3249,0.225,0.0999,True,True
cleveland,0.4587,k,k:8,9,0.3342,0.225,0.1093,True,True
diabetes130,0.1116,frac,frac:0.25,9,0.0064,-0.2721,0.2786,True,True
diabetes130,0.1116,frac,frac:0.33,9,0.0064,-0.2721,0.2785,True,True
diabetes130,0.1116,frac,frac:0.5,9,0.0074,-0.2721,0.2795,True,True
diabetes130,0.1116,frac,frac:0.75,9,0.0073,-0.2721,0.2795,True,True
diabetes130,0.1116,frac,frac:1,9,0.0093,-0.2721,0.2814,True,True
diabetes130,0.1116,k,k:1,9,0.0073,-0.2721,0.2794,True,True
diabetes130,0.1116,k,k:2,9,0.0082,-0.2721,0.2803,True,True
diabetes130,0.1116,k,k:4,9,0.0064,-0.2721,0.2786,True,True
diabetes130,0.1116,k,k:8,9,0.0074,-0.2721,0.2795,True,True
haberman,0.2647,frac,frac:0.25,9,0.0641,-0.0529,0.117,True,True
haberman,0.2647,frac,frac:0.33,9,0.0641,-0.0529,0.117,True,True
haberman,0.2647,frac,frac:0.5,9,0.0703,-0.0529,0.1232,True,True
haberman,0.2647,frac,frac:0.75,9,0.0703,-0.0529,0.1232,True,True
haberman,0.2647,frac,frac:1,9,0.0735,-0.0529,0.1263,True,True
haberman,0.2647,k,k:1,9,0.0641,-0.0529,0.117,True,True
haberman,0.2647,k,k:2,9,0.0703,-0.0529,0.1232,True,True
heartfailure,0.3211,frac,frac:0.25,9,0.2149,0.0278,0.1871,True,True
heartfailure,0.3211,frac,frac:0.33,9,0.2152,0.0278,0.1874,True,True
heartfailure,0.3211,frac,frac:0.5,9,0.2132,0.0278,0.1854,True,True
heartfailure,0.3211,frac,frac:0.75,9,0.2122,0.0278,0.1844,True,True
heartfailure,0.3211,frac,frac:1,9,0.2113,0.0278,0.1834,True,True
heartfailure,0.3211,k,k:1,9,0.1906,0.0278,0.1628,True,True
heartfailure,0.3211,k,k:2,9,0.2011,0.0278,0.1733,True,True
heartfailure,0.3211,k,k:4,9,0.2152,0.0278,0.1874,True,True
heartfailure,0.3211,k,k:8,9,0.2122,0.0278,0.1844,True,True
hepatitis,0.2065,frac,frac:0.25,9,0.0698,-0.1363,0.2061,True,True
hepatitis,0.2065,frac,frac:0.33,9,0.076,-0.1363,0.2123,True,True
hepatitis,0.2065,frac,frac:0.5,9,0.0852,-0.1363,0.2215,True,True
hepatitis,0.2065,frac,frac:0.75,9,0.0912,-0.1363,0.2275,True,True
hepatitis,0.2065,frac,frac:1,9,0.0911,-0.1363,0.2274,True,True
hepatitis,0.2065,k,k:1,9,0.051,-0.1363,0.1873,True,True
hepatitis,0.2065,k,k:2,9,0.0606,-0.1363,0.1969,True,True
hepatitis,0.2065,k,k:4,9,0.0698,-0.1363,0.2061,True,True
hepatitis,0.2065,k,k:8,9,0.0838,-0.1363,0.2201,True,True
ilpd,0.7136,frac,frac:0.25,9,0.5739,0.5898,-0.016,False,False
ilpd,0.7136,frac,frac:0.33,9,0.577,0.5898,-0.0128,False,False
ilpd,0.7136,frac,frac:0.5,9,0.5781,0.5898,-0.0117,False,False
ilpd,0.7136,frac,frac:0.75,9,0.579,0.5898,-0.0108,False,False
ilpd,0.7136,frac,frac:1,9,0.5791,0.5898,-0.0107,False,False
ilpd,0.7136,k,k:1,9,0.5779,0.5898,-0.0119,False,False
ilpd,0.7136,k,k:2,9,0.5739,0.5898,-0.016,False,False
ilpd,0.7136,k,k:4,9,0.5781,0.5898,-0.0117,False,False
ilpd,0.7136,k,k:8,9,0.5793,0.5898,-0.0106,False,False
mammographic,0.4631,frac,frac:0.25,9,0.3173,0.2311,0.0862,True,True
mammographic,0.4631,frac,frac:0.33,9,0.3422,0.2311,0.1111,True,True
mammographic,0.4631,frac,frac:0.5,9,0.3422,0.2311,0.1111,True,True
mammographic,0.4631,frac,frac:0.75,9,0.3493,0.2311,0.1182,True,True
mammographic,0.4631,frac,frac:1,9,0.3487,0.2311,0.1175,True,True
mammographic,0.4631,k,k:1,9,0.3173,0.2311,0.0862,True,True
mammographic,0.4631,k,k:2,9,0.3422,0.2311,0.1111,True,True
mammographic,0.4631,k,k:4,9,0.3493,0.2311,0.1182,True,True
pima,0.349,frac,frac:0.25,9,0.1837,0.0678,0.1159,True,True
pima,0.349,frac,frac:0.33,9,0.1938,0.0678,0.126,True,True
pima,0.349,frac,frac:0.5,9,0.1985,0.0678,0.1308,True,True
pima,0.349,frac,frac:0.75,9,0.2026,0.0678,0.1348,True,True
pima,0.349,frac,frac:1,9,0.2044,0.0678,0.1366,True,True
pima,0.349,k,k:1,9,0.1743,0.0678,0.1065,True,True
pima,0.349,k,k:2,9,0.1837,0.0678,0.1159,True,True
pima,0.349,k,k:4,9,0.1985,0.0678,0.1308,True,True
spectf,0.794,frac,frac:0.25,9,0.6957,0.705,-0.0093,False,False
spectf,0.794,frac,frac:0.33,9,0.6972,0.705,-0.0078,False,False
spectf,0.794,frac,frac:0.5,9,0.6976,0.705,-0.0074,False,False
spectf,0.794,frac,frac:0.75,9,0.6979,0.705,-0.0072,False,False
spectf,0.794,frac,frac:1,9,0.6975,0.705,-0.0075,False,False
spectf,0.794,k,k:1,9,0.6994,0.705,-0.0057,False,False
spectf,0.794,k,k:2,9,0.6899,0.705,-0.0152,False,False
spectf,0.794,k,k:4,9,0.6924,0.705,-0.0126,False,False
spectf,0.794,k,k:8,9,0.6942,0.705,-0.0108,False,False
statlogheart,0.4444,frac,frac:0.25,9,0.3046,0.2045,0.1001,True,True
statlogheart,0.4444,frac,frac:0.33,9,0.3111,0.2045,0.1066,True,True
statlogheart,0.4444,frac,frac:0.5,9,0.3183,0.2045,0.1138,True,True
statlogheart,0.4444,frac,frac:0.75,9,0.3225,0.2045,0.118,True,True
statlogheart,0.4444,frac,frac:1,9,0.3265,0.2045,0.122,True,True
statlogheart,0.4444,k,k:1,9,0.2693,0.2045,0.0648,True,True
statlogheart,0.4444,k,k:2,9,0.2949,0.2045,0.0905,True,True
statlogheart,0.4444,k,k:4,9,0.3111,0.2045,0.1066,True,True
statlogheart,0.4444,k,k:8,9,0.3222,0.2045,0.1177,True,True
wdbc,0.3726,frac,frac:0.25,9,0.341,0.1016,0.2394,True,True
wdbc,0.3726,frac,frac:0.33,9,0.3413,0.1016,0.2397,True,True
wdbc,0.3726,frac,frac:0.5,9,0.345,0.1016,0.2434,True,True
wdbc,0.3726,frac,frac:0.75,9,0.35,0.1016,0.2484,True,True
wdbc,0.3726,frac,frac:1,9,0.3495,0.1016,0.2479,True,True
wdbc,0.3726,k,k:1,9,0.3039,0.1016,0.2023,True,True
wdbc,0.3726,k,k:2,9,0.3157,0.1016,0.2141,True,True
wdbc,0.3726,k,k:4,9,0.3337,0.1016,0.2321,True,True
wdbc,0.3726,k,k:8,9,0.341,0.1016,0.2394,True,True
