# STATUS: validated  (REPS=30)
# calib_sha256: 19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,calib_sha256
cleveland,l1_logistic,gb,none,0.25,accuracy,0.8085808580858086,0.8031903190319035,0.813971397139714,30,0.02035203520352036,1.0316554199315962,0.01342134213421344,0.027502750275027507,3.9115713914999194e-05,0.00015646285565999678,True,False,True,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.33,accuracy,0.7991199119911992,0.794939493949395,0.8034103410341034,30,0.0108910891089109,0.5658592534523331,0.004507700770077,0.017931793179317947,0.005579697410727802,0.011159394821455604,True,False,True,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.5,accuracy,0.7853685368536854,0.7796479647964796,0.791089108910891,30,-0.0028602860286028615,-0.1663163719191486,-0.008800880088008797,0.0034103410341034036,0.3085845718115964,0.3085845718115964,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.75,accuracy,0.7771177117711773,0.7720572057205719,0.7823982398239823,30,-0.011111111111111117,-0.6495905242111211,-0.017161716171617162,-0.005060506050605073,0.0025064544151580355,0.007519363245474107,True,True,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,1.0,accuracy,0.7882288228822882,0.7826182618261828,0.7932893289328933,30,,,,,,,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.25,auroc,0.8562445165818566,0.8530545746329767,0.8592268563198223,30,-0.0047983564368017685,-0.38612543879338374,-0.009025943879043093,-0.00031505892846697345,0.023410143330693245,0.04682028666138649,True,True,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.33,auroc,0.8645325203252032,0.8608087310639296,0.8682094080832894,30,0.0034896473065449962,0.32842653900388225,-0.0001172172018482809,0.007592724600807157,0.19859833981112052,0.19859833981112052,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.5,auroc,0.8541418085044159,0.8500386398198515,0.8581608067204772,30,-0.00690106451424229,-0.6321299882185759,-0.010784238462888276,-0.003305367900801293,0.001340603455901146,0.004021810367703438,True,True,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.75,auroc,0.8551295548926711,0.8515148856524538,0.8587604184944727,30,-0.005913318125987047,-0.6647836219265586,-0.009050052640814198,-0.0028790138620811067,0.0007296018302440643,0.0029184073209762573,True,True,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,1.0,auroc,0.8610428730186581,0.8568106612271159,0.8647102561852958,30,,,,,,,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
