# STATUS: validated  (REPS=30)
# calib_sha256: 82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,calib_sha256
bcw,mutual_info,gb,isotonic,0.25,accuracy,0.9387696709585123,0.9376251788268956,0.9398187887458275,30,-0.026561754887935128,-5.778714235043594,-0.02818311874105864,-0.024988078206962302,1.7105279932400777e-06,1.7105279932400777e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,1.0,accuracy,0.9653314258464474,0.9643299952312829,0.966428230805913,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,0.25,auroc,0.9710784757832176,0.9703194024171483,0.9717867200287496,30,-0.017587139949386047,-7.482118034204065,-0.018400862641710005,-0.01677535378426861,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,1.0,auroc,0.9886656157326037,0.9880464819378254,0.9892246303611228,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,0.25,brier,0.04720403943544715,0.04663847926053452,0.04778256964601281,30,0.018903198004842952,12.319143882385815,0.018384095715813432,0.01945852444621454,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,1.0,brier,0.028300841430604205,0.027856754870673347,0.028764058059644333,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,0.25,ece,0.02381274627546592,0.02200460346789485,0.025744589854961347,30,0.005697338048161799,0.9983507645906775,0.0037809243376022194,0.007786420802290771,3.2391399145126343e-06,3.2391399145126343e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,1.0,ece,0.018115408227304113,0.016938856257492294,0.019260571763503924,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,0.25,aurc,0.029289782027812978,0.0278603526702484,0.030735818796178926,30,0.02163678268307192,5.348642572397181,0.020186769329672324,0.02296644764225707,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,1.0,aurc,0.007652999344741067,0.00673843245268163,0.008730155096625107,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,0.25,net_benefit,0.31103182154151743,0.31047223188084877,0.3115493964374013,30,-0.015762587486215954,-9.10244902284124,-0.01638382591661959,-0.015182912093122617,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,1.0,net_benefit,0.32679440902773327,0.3263964056639876,0.3271871524140501,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,0.25,conformal_efficiency,0.9383881735813067,0.9367191225560325,0.9400584167858848,30,0.020696232713400063,3.978356197515089,0.01893180734382448,0.022603719599427727,1.7213435893906393e-06,1.7213435893906393e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,1.0,conformal_efficiency,0.9176919408679064,0.9166905102527418,0.9186456843109204,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,0.25,selective_ece,0.008247789717516647,0.007076953061811974,0.009488278558808115,30,0.0034195265073912696,1.0073703016520559,0.0022302716624609895,0.00460908991786281,3.7904828786849976e-06,3.7904828786849976e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,isotonic,1.0,selective_ece,0.0048282632101253765,0.0040755799094267684,0.005641899821110927,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,0.25,accuracy,0.9370052455889366,0.9360503099666188,0.9379589890319504,30,-0.021411540295660492,-4.9144492529169135,-0.02293752980448261,-0.01988555078683836,1.6997692098403253e-06,1.6997692098403253e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,1.0,accuracy,0.9584167858845969,0.9568907963757749,0.959942775393419,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,0.25,auroc,0.9702153810843949,0.9694064676233791,0.9710258309324927,30,-0.020690113368002038,-10.508870004070566,-0.021386221288058553,-0.019995375739126672,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,1.0,auroc,0.9909054944523968,0.9904712216202503,0.9913201302191861,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,0.25,brier,0.04682388424309227,0.046292044832379156,0.04735826524406714,30,0.012291567775548731,4.965518190498199,0.011422598850192372,0.013159203174926784,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,1.0,brier,0.034532316467543546,0.03361613269663469,0.035485700698433605,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,0.25,ece,0.02831819586368876,0.02664539441111329,0.030050955145521675,30,-0.005696174544753327,-1.0175485758434046,-0.007582460463249205,-0.003725706449361002,2.366676926612854e-05,2.366676926612854e-05,True,False,True,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,1.0,ece,0.034014370408442095,0.03271110339288432,0.0353665140350475,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,0.25,aurc,0.027224788685277022,0.025868921845226836,0.02869108401184738,30,0.0231020831628819,6.348242353582304,0.02185480800266327,0.02442701276886143,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,1.0,aurc,0.00412270552239513,0.0039155130527703825,0.004347589217642066,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,0.25,net_benefit,0.3117815600731084,0.31135632356956006,0.31218782993936944,30,-0.009624148957160785,-3.9580546804524626,-0.010472231634740321,-0.008770716906332134,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,1.0,net_benefit,0.3214057090302692,0.32054957195762446,0.3222183645534644,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,0.25,conformal_efficiency,0.9378159275154984,0.9366714353838818,0.9390557939914163,30,0.020600858369098685,5.9266545069590935,0.0194086790653314,0.021840724845016698,1.7019164327509632e-06,1.7019164327509632e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,1.0,conformal_efficiency,0.9172150691463997,0.9163090128755366,0.9181688125894135,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,0.25,selective_ece,0.011471029337934563,0.010573626667564978,0.01243508227891417,30,0.005322345735988889,1.5807797435334965,0.0041646201293991285,0.006552711915659037,9.313225746154785e-09,9.313225746154785e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,none,1.0,selective_ece,0.006148683601945673,0.005310748755049352,0.007036491252194348,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,0.25,accuracy,0.9399141630901288,0.9390081068192659,0.9407248450166907,30,-0.02627563185503091,-6.777562425286224,-0.027658559847401013,-0.024940391034811545,1.6997692098403253e-06,1.6997692098403253e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,1.0,accuracy,0.9661897949451599,0.9653314258464473,0.9670958512160227,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,0.25,auroc,0.9747618788768295,0.9738943939613574,0.9755743973738729,30,-0.017378161106983855,-7.534234660251988,-0.01820549233844906,-0.016599450675557292,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,1.0,auroc,0.9921400399838132,0.9917716015268744,0.992488237390301,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,0.25,brier,0.046978210167399066,0.04658819982317435,0.04736607480974995,30,0.01941881146751486,17.163593466110317,0.019043776734200178,0.019834248264892485,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,1.0,brier,0.027559398699884198,0.02716020189929404,0.02796426998989113,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,0.25,ece,0.0383992387021359,0.037220524183350645,0.03967538866033151,30,0.010656023149543068,2.072777673394209,0.00885724081407563,0.012430163949428965,9.313225746154785e-09,9.313225746154785e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,1.0,ece,0.02774321555259283,0.02658877304217323,0.028936130709859436,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,0.25,aurc,0.019073520664522225,0.018083074055212266,0.02013225677698937,30,0.01536696040677007,5.498471682396332,0.01442089166645599,0.01636907321780192,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,1.0,aurc,0.0037065602577521567,0.003509828294186821,0.003912963146679421,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,0.25,net_benefit,0.3119451098844307,0.31161866540649497,0.3122634873719414,30,-0.015280308244611488,-11.75732390726133,-0.015754681395895767,-0.0148542863971083,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,1.0,net_benefit,0.3272254181290421,0.3268910799707548,0.3275510923360846,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,0.25,conformal_efficiency,0.9358130662851692,0.9344301382927994,0.9373390557939913,30,0.02083929422985217,4.431316625098691,0.019264425369575573,0.022508345255126367,1.6954815515692352e-06,1.6954815515692352e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,1.0,conformal_efficiency,0.9149737720553173,0.9142584644730569,0.9156890796375774,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,0.25,selective_ece,0.021691132126184967,0.020417097598597424,0.02297194520059061,30,0.009063335180450816,2.456407653355728,0.007783100089010608,0.010364589187063677,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,gb,sigmoid,1.0,selective_ece,0.01262779694573415,0.011981600996833375,0.01324966060224404,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,0.25,accuracy,0.9428707677634716,0.9418216499761564,0.9438721983786361,30,-0.02589413447782545,-9.348949239669833,-0.026847877920839282,-0.024892703862660927,1.6837370465306977e-06,1.6837370465306977e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,1.0,accuracy,0.9687649022412971,0.9680019074868859,0.969529089175012,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,0.25,auroc,0.9741298084763268,0.9735538822651855,0.9745974477099905,30,-0.01694178187682327,-8.730126121032345,-0.017656160345962638,-0.016273464820888178,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,1.0,auroc,0.9910715903531501,0.9905423484148412,0.9915448126740233,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
