# STATUS: validated  (REPS=30)
# calibration_sha256: c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
# calib_sha256: c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
bcw,l1_logistic,gb,none,frac:0.25,frac,0.25,accuracy,0.9469241773962802,0.9453505007153076,0.9484501669051025,30,-0.013733905579399104,-2.8321596797109603,-0.015450643776824032,-0.012017167381974218,1.7008425382861862e-06,6.803370153144745e-06,True,True,False,2,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:0.33,frac,0.33,accuracy,0.954840247973295,0.9532665712923223,0.9562708631378158,30,-0.005817835002384375,-1.1236265227096496,-0.007677634716261325,-0.004053409632808776,2.8722218206516167e-05,8.61666546195485e-05,True,True,False,3,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:0.5,frac,0.5,accuracy,0.9586552217453504,0.9573676680972818,0.9599427753934191,30,-0.0020028612303290374,-0.46648796987027286,-0.0035288507391511457,-0.0005245588936575637,0.032023953153944566,0.06404790630788913,False,False,False,4,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:0.75,frac,0.75,accuracy,0.9618979494515976,0.9606580829756796,0.9631855030996661,30,0.0012398664759179835,0.28431421059228673,-0.00033500238435863513,0.002765855984740099,0.06673339644250667,0.06673339644250667,False,False,False,7,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:1,frac,1.0,accuracy,0.9606580829756797,0.9596089651883644,0.9617548879351454,30,,,,,,,False,False,False,9,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,k:1,k,,accuracy,0.8950882212684788,0.8909871244635192,0.8989508822126846,30,-0.06556986170720076,-6.359806854456903,-0.06928946113495468,-0.06208869814020028,1.7245993818153558e-06,6.803370153144745e-06,True,True,False,1,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,k:2,k,,accuracy,0.9469241773962802,0.9453505007153076,0.9484501669051025,30,-0.013733905579399104,-2.8321596797109603,-0.015450643776824032,-0.012017167381974218,1.7008425382861862e-06,6.803370153144745e-06,True,True,False,2,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,k:4,k,,accuracy,0.9586552217453504,0.9573676680972818,0.9599427753934191,30,-0.0020028612303290374,-0.46648796987027286,-0.0035288507391511457,-0.0005245588936575637,0.032023953153944566,0.06404790630788913,False,False,False,4,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,k:8,k,,accuracy,0.9599427753934192,0.9590844062947068,0.9607057701478304,30,-0.0007153075822603383,-0.2573131276520741,-0.0017167381974248536,0.0002384358607535053,0.34135163611715513,0.34135163611715513,False,False,False,8,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:0.25,frac,0.25,auroc,0.9765126806670409,0.9755422200680087,0.9774540254096528,30,-0.014719569721019314,-5.442357108544045,-0.01568901864501986,-0.013793494476556324,1.862645149230957e-09,7.450580596923828e-09,True,True,False,2,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:0.33,frac,0.33,auroc,0.9869009222852381,0.9858769712563494,0.9877774820767421,30,-0.004331328102822433,-1.5812952689114717,-0.005394209745903481,-0.003418853847687068,5.587935447692871e-09,1.6763806343078613e-08,True,True,False,3,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:0.5,frac,0.5,auroc,0.98997671637464,0.9893814815150364,0.9905394908103667,30,-0.0012555340134205377,-0.8156109759732184,-0.001792216293101813,-0.0007222114008226361,0.00020912662148475647,0.00041825324296951294,True,True,False,4,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:0.75,frac,0.75,auroc,0.9915809007833685,0.9911310753350608,0.9920174310098026,30,0.0003486503953082254,0.46629813516991064,9.316092578836708e-05,0.0006145925818550766,0.013576939229941094,0.013576939229941094,True,False,True,7,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:1,frac,1.0,auroc,0.9912322503880604,0.9907747165799949,0.991655659038335,30,,,,,,,False,False,False,9,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,k:1,k,,auroc,0.9332493794053163,0.9317849722468852,0.9347951584554892,30,-0.05798287098274416,-13.167679408805911,-0.059515422759366304,-0.056426088079146286,1.862645149230957e-09,7.450580596923828e-09,True,True,False,1,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,k:2,k,,auroc,0.9765126806670409,0.9755422200680087,0.9774540254096528,30,-0.014719569721019314,-5.442357108544045,-0.01568901864501986,-0.013793494476556324,1.862645149230957e-09,7.450580596923828e-09,True,True,False,2,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,k:4,k,,auroc,0.98997671637464,0.9893814815150364,0.9905394908103667,30,-0.0012555340134205377,-0.8156109759732184,-0.001792216293101813,-0.0007222114008226361,0.00020912662148475647,0.00041825324296951294,True,True,False,4,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,k:8,k,,auroc,0.9913572753024454,0.9909045733751289,0.9917676831735791,30,0.00012502491438508938,0.18431109154368402,-0.0001171806579813898,0.00035635120525221505,0.3037409443409239,0.3037409443409239,False,False,False,8,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:0.25,frac,0.25,brier,0.0430830367780253,0.04219583943757316,0.044042392183121476,30,0.009845615372430222,3.742241347031018,0.00890299862577633,0.010809881766112165,1.862645149230957e-09,7.450580596923828e-09,True,True,False,2,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
bcw,l1_logistic,gb,none,frac:0.33,frac,0.33,brier,0.03658396599022497,0.03566934613028807,0.03755060852942191,30,0.003346544584629894,1.2059168277494379,0.002380309104005744,0.004346398309525575,3.1478703022003174e-07,9.443610906600952e-07,True,True,False,3,9,c7ed5da57f44696669f103e8dd2ceb2f1ba4065d506e5ab2bb776f1514e91403
