# STATUS: validated  (REPS=30)
# calibration_sha256: 923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
# calib_sha256: 923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
bcw,l1_logistic,gb,isotonic,frac:0.25,frac,0.25,accuracy,0.9473056747734862,0.9456366237482118,0.9488793514544589,30,-0.0191702432045779,-3.918103242497282,-0.020934668574153503,-0.017453505007153012,1.6954815515692352e-06,1.6954815515692352e-06,True,True,False,2,9,923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
bcw,l1_logistic,gb,isotonic,frac:1,frac,1.0,accuracy,0.9664759179780638,0.9658082975679542,0.967191225560324,30,,,,,,,False,False,False,9,9,923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
bcw,l1_logistic,gb,isotonic,frac:0.25,frac,0.25,auroc,0.9768127102623108,0.9759577391629974,0.9776795798679687,30,-0.012876962196572994,-5.266520824544752,-0.013727082540602873,-0.012018219965331275,1.862645149230957e-09,1.862645149230957e-09,True,True,False,2,9,923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
bcw,l1_logistic,gb,isotonic,frac:1,frac,1.0,auroc,0.9896896724588836,0.9891904070557537,0.9901798101372858,30,,,,,,,False,False,False,9,9,923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
bcw,l1_logistic,gb,isotonic,frac:0.25,frac,0.25,brier,0.04261882991800766,0.04172059200275341,0.04355202840177434,30,0.014766441635655285,5.580535691001832,0.013853455393590206,0.01573606140922227,1.862645149230957e-09,1.862645149230957e-09,True,True,False,2,9,923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
bcw,l1_logistic,gb,isotonic,frac:1,frac,1.0,brier,0.027852388282352383,0.027470124328547348,0.028294023412403228,30,,,,,,,False,False,False,9,9,923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
bcw,l1_logistic,gb,isotonic,frac:0.25,frac,0.25,ece,0.024713114640807627,0.023303801172537202,0.026148902356333218,30,0.007311370241799255,1.4709602760827678,0.005487216300748719,0.009009950258800166,2.0489096641540527e-07,2.0489096641540527e-07,True,True,False,2,9,923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
bcw,l1_logistic,gb,isotonic,frac:1,frac,1.0,ece,0.01740174439900837,0.016215219705376472,0.0186121833641665,30,,,,,,,False,False,False,9,9,923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
bcw,l1_logistic,gb,isotonic,frac:0.25,frac,0.25,aurc,0.02165243183308417,0.01940006567980627,0.023841003457627886,30,0.015475749577964668,2.304760299329195,0.013065078699927722,0.01779604641106646,1.862645149230957e-09,1.862645149230957e-09,True,True,False,2,9,923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
bcw,l1_logistic,gb,isotonic,frac:1,frac,1.0,aurc,0.006176682255119508,0.005600949113996356,0.006797538101563095,30,,,,,,,False,False,False,9,9,923218a3afb1e23302fb7a0c8175fe6fd74bb49b07db57d51c38569296834325
