# STATUS: validated  (REPS=30)
# calibration_sha256: 816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
# calib_sha256: 816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
diabetes130,l1_logistic,gb,none,frac:0.25,frac,0.25,accuracy,0.8857301560850971,0.8854190968171972,0.886030106093429,30,0.0005610176081764062,0.4539659843862208,0.0001222018552463248,0.0010053879908903977,0.020648041120645035,0.08259216448258014,False,False,False,4,16,816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
diabetes130,l1_logistic,gb,none,frac:0.33,frac,0.33,accuracy,0.8853191134810866,0.884991390323835,0.8856635005276899,30,0.00014997500416597347,0.12913151642457127,-0.0002499583402766312,0.0005554629783924921,0.6727822014795768,0.6727822014795768,False,False,False,5,16,816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
diabetes130,l1_logistic,gb,none,frac:0.5,frac,0.5,accuracy,0.8845636838304728,0.8841082041881909,0.8849915291895796,30,-0.0006054546464478191,-0.43225178518529894,-0.0010998166972171412,-0.00011109259567851164,0.026528342583108627,0.08259216448258014,False,False,False,8,16,816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
diabetes130,l1_logistic,gb,none,frac:0.75,frac,0.75,accuracy,0.8847969782813976,0.8843637171582515,0.885219130144976,30,-0.00037216019552297104,-0.2664513645767894,-0.0008611064822529767,0.00011109259567849694,0.20575227101561666,0.4115045420312333,False,False,False,12,16,816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
diabetes130,l1_logistic,gb,none,frac:1,frac,1.0,accuracy,0.8851691384769206,0.884846969949453,0.8855024162639561,30,,,,,,,False,False,False,16,16,816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
diabetes130,l1_logistic,gb,none,frac:0.25,frac,0.25,auroc,0.6262896080468041,0.6238838528703322,0.6286665728756333,30,0.005197679768480812,0.55455270371223,0.0018421303256742085,0.008401807903831106,0.004338232800364494,0.013014698401093483,True,False,True,4,16,816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
diabetes130,l1_logistic,gb,none,frac:0.33,frac,0.33,auroc,0.6201202858340075,0.6172702010021176,0.6230482995825599,30,-0.0009716424443156642,-0.11222835610818624,-0.0039408786353358205,0.0020422745585521877,0.685047073289752,0.685047073289752,False,False,False,5,16,816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
diabetes130,l1_logistic,gb,none,frac:0.5,frac,0.5,auroc,0.6133777790843197,0.610838564166599,0.6160013353556734,30,-0.0077141491940037315,-0.7802589060689978,-0.010989444309124055,-0.004156164404016326,0.00016989745199680328,0.0006795898079872131,True,True,False,8,16,816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
diabetes130,l1_logistic,gb,none,frac:0.75,frac,0.75,auroc,0.6179259349472858,0.6152644975973631,0.6204614461690797,30,-0.003165993331037553,-0.45379940048461737,-0.005481958058142958,-0.0006256732189736108,0.018529480323195457,0.037058960646390915,True,True,False,12,16,816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
diabetes130,l1_logistic,gb,none,frac:1,frac,1.0,auroc,0.6210919282783233,0.6183521897639918,0.6237620755955732,30,,,,,,,False,False,False,16,16,816d180e91fea8f1dd1adaa9e4faf46534ccdcbcb7e38d285f73c445c43f332f
